lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
12152;TORUŃSKA 60                             ;LG  ;0;1;1;2010;113.55;52.40;137.00;2.0;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;1;1;1;2010;113.67;50.77;145.00;2.0;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;2;1;1;2010;114.47;53.60;126.00;1.8;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;3;1;1;2010;115.25;54.45;133.00;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;4;1;1;2010;115.57;53.80;128.00;1.8;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;5;1;1;2010;115.70;54.40;127.00;1.8;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;6;1;1;2010;115.85;51.40;137.50;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;7;1;1;2010;115.83;52.83;140.67;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;8;1;1;2010;115.80;49.20;142.50;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;9;1;1;2010;114.40;51.00;140.50;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;10;1;1;2010;113.90;45.65;126.50;1.6;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;11;1;1;2010;109.97;48.20;152.00;2.1;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;12;1;1;2010;108.17;49.03;145.33;2.1;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;13;1;1;2010;106.17;50.87;142.33;2.2;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;14;1;1;2010;105.25;50.35;135.50;2.2;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;15;1;1;2010;104.53;48.80;134.67;2.1;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;16;1;1;2010;104.03;53.07;133.00;2.3;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;17;1;1;2010;106.40;51.50;145.50;2.3;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;18;1;1;2010;107.77;53.03;136.00;2.2;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;19;1;1;2010;107.15;50.00;131.50;2.0;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;20;1;1;2010;107.97;52.53;121.00;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;21;1;1;2010;109.40;48.50;148.00;2.1;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;22;1;1;2010;108.07;47.37;147.33;2.1;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;23;1;1;2010;107.85;53.75;116.75;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;0;2;1;2010;108.73;53.47;121.00;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;1;2;1;2010;109.65;54.10;124.50;2.0;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;2;2;1;2010;111.55;54.30;118.50;1.8;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;3;2;1;2010;112.07;54.23;119.67;1.8;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;4;2;1;2010;110.70;54.13;120.75;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;5;2;1;2010;112.35;49.80;130.00;1.8;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;6;2;1;2010;111.93;52.88;122.50;1.8;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;7;2;1;2010;111.87;50.07;135.67;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;8;2;1;2010;110.80;50.05;133.50;1.9;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;9;2;1;2010;109.55;48.40;148.00;2.1;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;10;2;1;2010;108.33;44.68;160.00;2.2;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;11;2;1;2010;108.25;43.55;156.50;2.1;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;12;2;1;2010;107.63;47.17;146.33;2.1;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;13;2;1;2010;108.53;46.73;147.33;2.1;0.00;0.0
12152;TORUŃSKA 60                             ;LG  ;14;2;1;2010;108.97;47.60;146.33;2.1;0.00;0.0
