lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
12229;KONDRATOWICZA L 13 W. II                ;LG  ;0;1;1;2010;99.05;42.60;98.20;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;1;1;1;2010;98.93;45.13;89.00;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;2;1;1;2010;99.35;48.10;89.20;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;1;1;2010;100.40;46.93;86.37;1.4;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;4;1;1;2010;100.10;50.07;80.50;1.4;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;5;1;1;2010;99.83;50.60;75.10;1.4;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;6;1;1;2010;100.75;47.30;89.45;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;7;1;1;2010;100.80;46.37;89.90;1.4;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;1;1;2010;100.85;44.20;98.10;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;9;1;1;2010;98.77;40.20;95.70;1.4;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;1;1;2010;98.60;39.47;88.70;1.3;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;11;1;1;2010;95.50;41.10;97.25;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;12;1;1;2010;93.10;41.20;103.93;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;13;1;1;2010;91.27;42.67;97.23;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;14;1;1;2010;90.37;42.37;98.03;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;15;1;1;2010;89.73;43.00;105.00;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;16;1;1;2010;89.55;40.90;101.25;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;17;1;1;2010;92.95;43.70;94.65;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;18;1;1;2010;92.70;46.87;87.63;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;19;1;1;2010;92.50;43.80;93.13;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;20;1;1;2010;92.75;50.58;80.15;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;21;1;1;2010;94.50;43.30;92.35;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;22;1;1;2010;92.97;42.97;92.53;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;23;1;1;2010;94.40;45.90;99.25;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;0;2;1;2010;93.90;47.80;83.37;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;1;2;1;2010;95.25;48.60;80.20;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;2;2;1;2010;96.65;49.23;83.60;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;2;1;2010;97.33;47.43;79.33;1.4;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;4;2;1;2010;96.10;43.70;85.20;1.4;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;5;2;1;2010;97.40;47.28;84.60;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;6;2;1;2010;97.00;47.05;81.70;1.4;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;7;2;1;2010;97.25;41.85;93.30;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;2;1;2010;95.75;42.65;91.30;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;9;2;1;2010;94.45;34.30;118.35;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;2;1;2010;93.43;35.70;124.55;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;11;2;1;2010;92.90;39.75;101.60;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;12;2;1;2010;93.03;37.85;112.93;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;13;2;1;2010;93.50;42.27;100.93;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;14;2;1;2010;94.30;38.80;122.60;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;15;2;1;2010;93.20;45.00;102.90;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;16;2;1;2010;93.30;41.30;112.70;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;17;2;1;2010;95.73;44.03;92.93;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;18;2;1;2010;97.73;40.77;116.43;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;19;2;1;2010;97.65;44.40;94.35;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;20;2;1;2010;97.63;44.20;102.03;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;21;2;1;2010;97.13;43.67;104.63;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;22;2;1;2010;97.23;43.90;101.60;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;23;2;1;2010;96.40;42.30;104.30;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;0;3;1;2010;96.40;43.65;101.65;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;1;3;1;2010;93.93;48.43;87.70;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;2;3;1;2010;93.73;49.00;87.90;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;3;1;2010;94.10;48.60;89.70;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;4;3;1;2010;94.70;53.57;90.73;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;5;3;1;2010;95.73;49.30;90.60;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;6;3;1;2010;95.55;52.35;86.65;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;7;3;1;2010;93.75;46.95;107.20;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;3;1;2010;92.10;47.00;113.65;2.2;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;9;3;1;2010;92.80;45.37;115.60;2.1;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;3;1;2010;92.10;38.90;134.67;2.2;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;11;3;1;2010;97.05;39.45;152.65;2.3;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;12;3;1;2010;100.60;38.87;132.13;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;13;3;1;2010;103.65;42.30;124.45;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;14;3;1;2010;107.30;43.95;110.85;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;15;3;1;2010;107.60;48.55;112.80;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;16;3;1;2010;107.30;41.65;124.85;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;17;3;1;2010;106.70;48.40;102.20;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;18;3;1;2010;106.70;46.70;142.67;2.1;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;19;3;1;2010;107.20;44.20;130.90;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;20;3;1;2010;107.25;49.00;160.20;2.4;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;21;3;1;2010;107.70;48.00;140.05;2.1;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;22;3;1;2010;107.90;45.10;149.90;2.1;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;23;3;1;2010;108.20;48.30;116.00;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;0;4;1;2010;108.50;53.00;181.40;2.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;1;4;1;2010;108.20;53.95;117.65;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;2;4;1;2010;108.70;53.60;115.30;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;4;1;2010;110.20;53.40;109.90;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;4;4;1;2010;109.50;47.70;111.30;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;5;4;1;2010;109.50;44.47;111.97;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;6;4;1;2010;107.80;43.70;146.58;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;7;4;1;2010;107.50;46.60;101.00;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;4;1;2010;106.95;42.95;114.95;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;9;4;1;2010;105.85;49.65;93.90;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;4;1;2010;104.45;42.70;103.40;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;11;4;1;2010;102.80;45.60;104.80;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;12;4;1;2010;99.70;42.05;101.20;1.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;13;4;1;2010;97.45;42.90;103.60;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;15;4;1;2010;97.40;43.60;137.80;2.2;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;16;4;1;2010;98.85;43.35;119.55;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;17;4;1;2010;100.60;44.40;115.65;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;18;4;1;2010;101.55;43.30;124.95;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;19;4;1;2010;101.83;42.48;128.88;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;20;4;1;2010;102.20;43.53;130.95;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;21;4;1;2010;102.80;47.50;130.55;2.1;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;22;4;1;2010;101.90;41.65;138.10;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;23;4;1;2010;101.60;43.00;121.60;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;0;5;1;2010;101.53;51.53;96.27;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;1;5;1;2010;101.75;52.65;89.75;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;2;5;1;2010;101.03;50.87;92.97;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;5;1;2010;99.80;48.05;102.25;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;4;5;1;2010;99.10;47.90;102.50;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;5;5;1;2010;99.87;44.73;104.27;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;6;5;1;2010;99.63;43.30;111.03;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;7;5;1;2010;97.38;43.25;104.85;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;5;1;2010;96.03;39.57;116.60;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;9;5;1;2010;96.20;39.10;115.25;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;5;1;2010;91.13;42.77;100.87;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;11;5;1;2010;94.37;37.47;111.50;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;12;5;1;2010;94.35;40.45;107.75;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;13;5;1;2010;97.60;44.13;101.43;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;14;5;1;2010;99.37;44.73;111.40;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;15;5;1;2010;101.50;43.60;125.25;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;16;5;1;2010;100.97;43.97;119.67;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;17;5;1;2010;101.40;40.95;134.33;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;21;5;1;2010;102.50;41.10;144.70;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;6;1;2010;104.10;51.00;109.80;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;6;1;2010;105.60;45.50;117.10;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;6;1;2010;98.00;42.10;118.10;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;14;6;1;2010;96.18;43.60;109.90;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;15;6;1;2010;96.30;39.30;114.70;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;16;6;1;2010;96.20;46.23;102.30;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;17;6;1;2010;98.00;43.20;109.13;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;18;6;1;2010;97.77;44.33;114.13;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;19;6;1;2010;98.47;43.73;115.93;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;20;6;1;2010;98.85;40.35;127.75;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;21;6;1;2010;97.60;39.18;130.15;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;22;6;1;2010;97.67;40.30;123.07;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;23;6;1;2010;95.23;44.58;108.05;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;0;7;1;2010;100.33;48.27;94.93;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;1;7;1;2010;98.95;47.45;96.85;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;2;7;1;2010;99.05;48.05;96.55;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;7;1;2010;99.70;48.10;95.40;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;4;7;1;2010;100.33;46.67;96.53;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;6;7;1;2010;93.60;45.30;101.70;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;7;7;1;2010;96.80;41.10;116.30;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;7;1;2010;97.20;40.20;116.85;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;7;1;2010;96.45;40.50;105.30;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;11;7;1;2010;94.40;45.90;103.50;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;12;7;1;2010;94.00;40.80;113.00;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;13;7;1;2010;94.40;42.50;111.30;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;14;7;1;2010;94.10;43.70;110.50;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;16;7;1;2010;94.20;43.20;118.00;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;17;7;1;2010;100.30;45.40;105.20;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;18;7;1;2010;98.23;41.40;114.30;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;20;7;1;2010;101.20;35.27;140.80;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;21;7;1;2010;99.98;39.54;122.48;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;22;7;1;2010;97.35;40.55;117.50;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;23;7;1;2010;96.40;50.60;102.10;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;0;8;1;2010;96.63;51.77;85.50;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;1;8;1;2010;96.40;48.98;94.06;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;2;8;1;2010;100.50;52.80;95.60;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;8;1;2010;102.88;51.20;95.70;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;4;8;1;2010;100.57;43.67;112.17;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;5;8;1;2010;100.67;48.20;111.50;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;6;8;1;2010;104.73;42.17;124.33;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;7;8;1;2010;103.90;39.27;132.13;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;8;1;2010;96.90;42.07;112.97;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;9;8;1;2010;97.95;39.80;109.35;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;8;1;2010;96.80;33.70;133.50;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;11;8;1;2010;97.50;40.30;108.40;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;12;8;1;2010;97.40;40.90;109.50;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;13;8;1;2010;96.40;43.00;107.70;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;14;8;1;2010;97.30;38.70;135.00;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;16;8;1;2010;97.15;41.70;114.10;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;17;8;1;2010;96.70;42.70;118.65;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;18;8;1;2010;96.55;40.90;118.80;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;19;8;1;2010;98.20;39.40;121.00;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;20;8;1;2010;97.90;41.00;120.30;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;21;8;1;2010;98.30;34.90;141.70;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;22;8;1;2010;98.85;41.70;118.60;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;0;9;1;2010;98.35;50.70;93.55;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;1;9;1;2010;99.20;47.50;99.90;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;2;9;1;2010;100.00;47.00;98.20;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;9;1;2010;101.40;46.40;103.30;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;5;9;1;2010;99.10;46.60;97.10;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;6;9;1;2010;96.15;63.95;66.10;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;7;9;1;2010;95.30;36.20;144.90;2.1;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;9;1;2010;93.87;39.63;118.67;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;9;9;1;2010;92.45;39.05;124.30;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;9;1;2010;94.66;37.30;136.26;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;11;9;1;2010;94.75;36.10;130.30;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;12;9;1;2010;92.28;42.28;114.98;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;13;9;1;2010;93.35;40.38;123.35;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;14;9;1;2010;94.35;37.15;136.60;2.1;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;15;9;1;2010;94.20;40.37;121.27;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;16;9;1;2010;94.33;39.27;120.50;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;17;9;1;2010;94.40;42.03;118.03;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;18;9;1;2010;95.35;42.50;113.00;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;19;9;1;2010;95.26;43.22;119.12;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;20;9;1;2010;94.33;39.87;114.90;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;21;9;1;2010;95.20;43.30;109.50;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;22;9;1;2010;96.05;36.85;133.50;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;23;9;1;2010;93.50;40.60;115.50;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;0;10;1;2010;94.00;46.60;96.80;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;1;10;1;2010;92.05;44.45;101.25;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;2;10;1;2010;91.75;47.10;94.00;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;10;1;2010;92.50;46.60;96.70;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;4;10;1;2010;93.30;46.70;95.00;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;5;10;1;2010;90.75;45.48;98.45;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;6;10;1;2010;88.90;46.90;98.30;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;7;10;1;2010;93.13;41.67;112.63;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;10;1;2010;91.70;32.85;154.40;2.3;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;9;10;1;2010;91.60;36.30;130.75;2.1;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;10;1;2010;90.85;38.50;121.90;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;11;10;1;2010;90.25;43.40;123.95;2.3;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;12;10;1;2010;87.95;43.70;110.00;2.2;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;13;10;1;2010;87.10;42.20;112.40;2.2;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;14;10;1;2010;85.80;37.35;147.80;2.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;15;10;1;2010;86.85;38.00;122.05;2.2;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;16;10;1;2010;85.10;42.90;109.15;2.3;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;17;10;1;2010;83.75;43.95;113.05;2.5;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;18;10;1;2010;92.57;43.87;102.17;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;19;10;1;2010;93.70;42.93;108.27;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;20;10;1;2010;93.90;33.40;137.20;2.0;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;21;10;1;2010;94.50;41.80;112.50;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;22;10;1;2010;93.25;40.85;101.40;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;23;10;1;2010;96.85;36.25;131.80;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;1;11;1;2010;90.63;49.20;78.33;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;2;11;1;2010;90.35;49.20;86.60;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;3;11;1;2010;89.00;53.20;65.90;1.6;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;4;11;1;2010;92.00;46.90;90.40;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;5;11;1;2010;92.67;43.83;98.20;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;6;11;1;2010;93.85;40.35;105.70;1.7;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;7;11;1;2010;94.05;38.20;116.85;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;8;11;1;2010;93.85;37.75;117.15;1.8;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;9;11;1;2010;91.63;35.23;124.80;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;10;11;1;2010;88.75;44.60;94.95;1.9;0.00;0.0
12229;KONDRATOWICZA L 13 W. II                ;LG  ;11;11;1;2010;89.53;42.50;97.93;1.8;0.00;0.0
