lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
12649;MYSZKOWSKA 4                            ;LG  ;0;1;1;2010;94.85;49.28;127.25;2.4;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;1;1;1;2010;96.03;45.88;131.00;2.3;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;2;1;1;2010;97.35;49.05;123.50;2.2;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;3;1;1;2010;98.00;51.43;121.00;2.3;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;4;1;1;2010;98.35;51.60;121.00;2.3;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;5;1;1;2010;99.23;51.40;122.50;2.2;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;6;1;1;2010;99.68;51.15;121.50;2.2;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;7;1;1;2010;99.83;49.18;129.50;2.2;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;8;1;1;2010;99.80;49.20;123.75;2.1;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;9;1;1;2010;100.00;46.93;125.25;2.1;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;10;1;1;2010;99.90;41.53;135.25;2.0;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;11;1;1;2010;99.43;46.18;121.25;2.0;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;12;1;1;2010;98.43;39.63;142.75;2.1;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;13;1;1;2010;97.05;43.48;134.00;2.2;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;14;1;1;2010;93.63;45.87;134.00;2.4;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;15;1;1;2010;91.50;42.80;142.75;2.6;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;16;1;1;2010;90.25;47.30;132.00;2.7;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;17;1;1;2010;89.78;49.83;126.25;2.8;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;18;1;1;2010;88.90;50.60;126.00;2.9;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;19;1;1;2010;90.07;48.07;130.33;2.7;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;20;1;1;2010;92.48;47.00;128.00;2.5;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;21;1;1;2010;92.70;47.08;131.25;2.5;0.00;0.0
12649;MYSZKOWSKA 4                            ;LG  ;22;1;1;2010;91.88;44.08;137.50;2.5;0.00;0.0
