lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
12654;JUNKIEWICZ H 6                          ;LG  ;0;1;1;2010;95.95;53.80;225.00;4.7;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;1;1;1;2010;97.70;55.80;226.00;4.7;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;2;1;1;2010;98.70;56.50;227.00;4.7;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;3;1;1;2010;98.80;51.40;256.00;4.7;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;4;1;1;2010;99.90;57.20;230.00;4.7;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;5;1;1;2010;100.40;53.20;255.00;4.7;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;6;1;1;2010;100.75;56.20;235.00;4.6;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;7;1;1;2010;100.80;57.40;229.00;4.6;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;8;1;1;2010;101.10;56.90;233.00;4.6;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;9;1;1;2010;101.00;54.40;246.00;4.6;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;10;1;1;2010;101.00;49.30;274.00;4.6;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;11;1;1;2010;99.70;46.70;281.00;4.6;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;12;1;1;2010;99.60;46.20;277.00;4.5;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;13;1;1;2010;94.90;52.60;209.00;4.3;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;14;1;1;2010;93.50;41.00;254.00;4.2;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;15;1;1;2010;91.77;47.83;214.00;4.2;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;16;1;1;2010;90.73;46.28;217.00;4.3;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;17;1;1;2010;90.10;48.78;201.75;4.3;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;18;1;1;2010;89.58;48.85;202.50;4.3;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;19;1;1;2010;91.85;43.65;239.00;4.3;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;20;1;1;2010;93.13;44.03;243.00;4.3;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;21;1;1;2010;93.13;48.50;220.50;4.3;0.00;0.0
12654;JUNKIEWICZ H 6                          ;LG  ;22;1;1;2010;93.90;48.10;226.00;4.3;0.00;0.0
