lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
12971;ASKENAZEGO S 4                          ;LG  ;0;1;1;2010;98.24;47.82;121.57;2.1;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;1;1;1;2010;99.16;45.52;135.20;2.2;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;2;1;1;2010;99.43;49.02;121.10;2.1;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;3;1;1;2010;100.23;50.06;120.65;2.1;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;4;1;1;2010;100.90;50.63;114.85;2.0;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;5;1;1;2010;100.58;50.82;118.40;2.1;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;6;1;1;2010;100.98;51.03;120.80;2.1;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;7;1;1;2010;101.28;49.94;124.65;2.1;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;8;1;1;2010;101.25;47.63;127.20;2.1;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;9;1;1;2010;100.47;43.03;155.73;2.3;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;10;1;1;2010;99.55;45.64;122.85;2.0;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;11;1;1;2010;97.54;41.69;139.40;2.2;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;12;1;1;2010;95.05;38.09;159.70;2.4;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;13;1;1;2010;92.88;38.31;158.90;2.5;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;14;1;1;2010;91.10;41.40;157.43;2.7;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;15;1;1;2010;90.35;46.38;143.30;2.8;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;16;1;1;2010;89.88;50.57;119.85;2.7;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;17;1;1;2010;90.89;42.24;149.00;2.7;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;18;1;1;2010;93.60;49.33;121.00;2.4;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;19;1;1;2010;93.62;45.79;128.60;2.3;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;20;1;1;2010;93.05;46.08;130.30;2.4;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;21;1;1;2010;94.42;35.72;152.90;2.3;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;22;1;1;2010;94.55;47.17;122.90;2.2;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;23;1;1;2010;93.24;49.81;115.05;2.3;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;0;2;1;2010;94.86;50.70;111.85;2.2;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;1;2;1;2010;93.81;51.21;114.60;2.4;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;2;2;1;2010;96.71;50.79;113.50;2.1;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;3;2;1;2010;97.56;50.70;118.40;2.2;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;4;2;1;2010;97.37;50.57;122.83;2.3;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;5;2;1;2010;96.55;50.81;117.77;2.2;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;6;2;1;2010;97.93;50.07;119.70;2.2;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;7;2;1;2010;97.69;43.60;132.20;2.2;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;8;2;1;2010;96.79;39.91;156.80;2.3;199.70;3.1
12971;ASKENAZEGO S 4                          ;LG  ;9;2;1;2010;96.05;39.88;156.63;2.4;185.93;2.9
12971;ASKENAZEGO S 4                          ;LG  ;10;2;1;2010;94.34;36.18;159.50;2.6;160.05;2.4
12971;ASKENAZEGO S 4                          ;LG  ;11;2;1;2010;94.25;41.51;147.35;2.4;161.70;2.4
12971;ASKENAZEGO S 4                          ;LG  ;12;2;1;2010;93.75;41.22;147.75;2.4;161.70;2.4
12971;ASKENAZEGO S 4                          ;LG  ;13;2;1;2010;93.10;46.63;139.95;2.7;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;14;2;1;2010;94.28;46.21;132.20;2.4;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;15;2;1;2010;94.08;46.61;130.40;2.4;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;16;2;1;2010;92.39;48.38;131.80;2.5;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;17;2;1;2010;94.81;39.64;151.63;2.4;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;18;2;1;2010;96.71;42.11;148.60;2.3;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;19;2;1;2010;98.10;35.95;154.80;2.3;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;20;2;1;2010;97.87;42.06;143.33;2.2;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;21;2;1;2010;97.61;43.06;147.28;2.4;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;22;2;1;2010;97.18;44.64;142.75;2.5;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;23;2;1;2010;97.04;51.90;125.00;2.4;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;0;3;1;2010;96.52;50.49;128.50;2.5;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;1;3;1;2010;95.62;53.10;127.70;2.6;161.70;2.5
12971;ASKENAZEGO S 4                          ;LG  ;2;3;1;2010;93.78;52.80;125.40;2.7;161.70;2.6
12971;ASKENAZEGO S 4                          ;LG  ;3;3;1;2010;93.89;54.11;129.15;2.9;161.70;2.8
12971;ASKENAZEGO S 4                          ;LG  ;4;3;1;2010;94.27;54.16;133.23;2.9;161.70;2.9
12971;ASKENAZEGO S 4                          ;LG  ;5;3;1;2010;94.75;53.85;126.50;2.7;161.70;2.9
12971;ASKENAZEGO S 4                          ;LG  ;6;3;1;2010;95.56;54.06;133.15;2.8;161.70;2.9
12971;ASKENAZEGO S 4                          ;LG  ;7;3;1;2010;96.49;50.74;155.60;3.0;161.70;2.9
12971;ASKENAZEGO S 4                          ;LG  ;8;3;1;2010;94.80;50.67;155.60;3.1;161.70;3.0
12971;ASKENAZEGO S 4                          ;LG  ;9;3;1;2010;92.87;48.14;158.80;3.1;161.70;3.0
12971;ASKENAZEGO S 4                          ;LG  ;10;3;1;2010;93.38;41.33;184.25;3.1;172.80;3.1
12971;ASKENAZEGO S 4                          ;LG  ;11;3;1;2010;93.41;40.81;185.83;3.1;179.00;3.1
12971;ASKENAZEGO S 4                          ;LG  ;12;3;1;2010;93.97;40.63;188.10;3.1;186.80;3.1
12971;ASKENAZEGO S 4                          ;LG  ;13;3;1;2010;99.57;53.22;158.90;3.0;186.80;3.1
12971;ASKENAZEGO S 4                          ;LG  ;14;3;1;2010;101.72;48.69;146.00;2.4;186.80;3.1
12971;ASKENAZEGO S 4                          ;LG  ;15;3;1;2010;103.55;43.62;172.40;2.5;186.80;3.1
12971;ASKENAZEGO S 4                          ;LG  ;16;3;1;2010;107.37;48.45;160.40;2.4;186.80;3.1
12971;ASKENAZEGO S 4                          ;LG  ;17;3;1;2010;107.51;55.26;150.80;2.5;186.80;3.1
12971;ASKENAZEGO S 4                          ;LG  ;18;3;1;2010;106.76;52.47;155.95;2.5;186.80;3.1
12971;ASKENAZEGO S 4                          ;LG  ;19;3;1;2010;106.84;42.46;215.65;2.9;186.80;3.1
12971;ASKENAZEGO S 4                          ;LG  ;20;3;1;2010;106.78;49.87;169.95;2.6;202.90;3.1
12971;ASKENAZEGO S 4                          ;LG  ;21;3;1;2010;107.00;44.08;195.60;2.7;202.90;3.1
12971;ASKENAZEGO S 4                          ;LG  ;22;3;1;2010;107.17;54.74;169.13;2.8;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;0;4;1;2010;108.67;48.95;181.40;2.6;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;1;4;1;2010;108.66;59.68;152.10;2.7;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;2;4;1;2010;108.09;60.13;161.60;2.9;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;3;4;1;2010;108.56;57.42;133.60;2.3;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;5;4;1;2010;109.41;38.98;187.80;2.3;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;6;4;1;2010;109.32;49.70;151.30;2.2;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;7;4;1;2010;108.84;53.13;137.50;2.1;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;8;4;1;2010;108.07;47.70;147.83;2.1;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;9;4;1;2010;106.91;52.34;119.40;1.9;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;10;4;1;2010;105.36;43.80;130.00;1.8;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;11;4;1;2010;107.49;43.99;141.50;1.9;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;12;4;1;2010;103.14;48.13;131.43;2.1;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;13;4;1;2010;101.26;37.62;160.60;2.2;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;14;4;1;2010;97.57;48.77;144.90;2.6;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;15;4;1;2010;97.31;41.61;169.40;2.6;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;16;4;1;2010;95.97;47.49;149.30;2.7;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;17;4;1;2010;98.29;45.77;155.15;2.6;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;18;4;1;2010;100.77;45.90;155.70;2.5;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;19;4;1;2010;101.71;44.27;161.30;2.4;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;21;4;1;2010;102.12;39.10;194.50;2.7;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;22;4;1;2010;102.36;36.57;184.15;2.4;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;23;4;1;2010;101.81;51.12;133.97;2.3;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;0;5;1;2010;101.37;53.41;123.10;2.2;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;1;5;1;2010;101.54;52.71;121.30;2.2;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;2;5;1;2010;102.59;52.35;121.40;2.1;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;3;5;1;2010;101.29;52.15;123.95;2.2;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;5;5;1;2010;100.04;41.33;152.35;2.3;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;6;5;1;2010;99.80;46.22;137.10;2.4;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;7;5;1;2010;99.68;46.10;142.75;2.3;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;8;5;1;2010;98.97;42.89;152.90;2.4;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;9;5;1;2010;95.98;43.56;144.57;2.4;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;10;5;1;2010;95.85;48.66;121.60;2.3;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;11;5;1;2010;90.88;38.07;153.25;2.5;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;12;5;1;2010;94.47;37.08;181.50;2.7;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;13;5;1;2010;94.57;50.73;134.60;2.7;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;14;5;1;2010;99.00;43.14;157.80;2.4;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;15;5;1;2010;99.42;46.36;155.00;2.5;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;16;5;1;2010;101.37;48.27;146.70;2.4;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;17;5;1;2010;100.97;51.71;135.80;2.4;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;18;5;1;2010;101.15;52.54;140.10;2.5;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;19;5;1;2010;101.30;40.18;177.00;2.5;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;20;5;1;2010;102.70;50.28;160.80;2.7;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;21;5;1;2010;103.61;47.00;190.80;2.9;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;22;5;1;2010;102.94;52.36;162.55;2.8;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;0;6;1;2010;101.62;57.88;148.60;3.0;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;1;6;1;2010;102.95;59.01;148.40;3.0;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;2;6;1;2010;103.23;58.66;140.45;2.8;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;3;6;1;2010;103.29;57.56;135.90;2.6;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;4;6;1;2010;104.17;55.56;131.05;2.4;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;5;6;1;2010;104.54;50.66;138.50;2.2;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;6;6;1;2010;104.24;47.26;151.75;2.3;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;7;6;1;2010;105.23;52.39;129.60;2.1;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;8;6;1;2010;105.83;34.12;162.60;2.0;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;9;6;1;2010;106.08;47.97;137.35;2.1;209.10;3.1
12971;ASKENAZEGO S 4                          ;LG  ;10;6;1;2010;103.64;46.87;136.10;2.1;209.10;3.1
