lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
13144;Grochowska 172                          ;LG  ;0;1;1;2010;98.23;49.38;130.50;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;1;1;1;2010;98.97;50.67;129.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;2;1;1;2010;99.03;51.97;126.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;3;1;1;2010;98.85;52.85;123.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;4;1;1;2010;99.60;52.93;124.33;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;5;1;1;2010;98.58;51.73;125.25;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;6;1;1;2010;98.95;52.15;124.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;7;1;1;2010;99.30;51.73;126.33;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;8;1;1;2010;100.63;49.43;135.75;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;9;1;1;2010;100.00;48.10;138.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;10;1;1;2010;99.15;48.60;134.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;11;1;1;2010;99.63;49.83;133.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;12;1;1;2010;97.90;47.87;132.33;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;13;1;1;2010;98.00;46.90;134.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;14;1;1;2010;97.70;45.75;135.50;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;15;1;1;2010;96.73;48.13;127.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;16;1;1;2010;96.45;47.20;128.50;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;17;1;1;2010;94.93;45.85;128.50;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;18;1;1;2010;91.98;47.08;117.75;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;19;1;1;2010;91.80;48.25;114.50;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;20;1;1;2010;91.40;44.80;123.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;21;1;1;2010;91.97;46.83;119.33;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;22;1;1;2010;91.80;47.25;117.50;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;23;1;1;2010;92.65;47.10;119.50;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;0;2;1;2010;93.13;49.50;115.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;1;2;1;2010;93.07;50.03;114.33;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;2;2;1;2010;92.95;49.60;115.75;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;3;2;1;2010;93.07;50.27;114.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;4;2;1;2010;95.63;50.37;121.00;2.3;0.00;0.0
13144;Grochowska 172                          ;LG  ;5;2;1;2010;97.70;49.23;128.50;2.3;0.00;0.0
