lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;0;1;1;2010;97.93;50.17;66.33;1.2;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;1;1;1;2010;99.35;48.38;82.50;1.4;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;2;1;1;2010;99.65;50.95;75.50;1.4;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;3;1;1;2010;99.80;52.35;69.50;1.3;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;4;1;1;2010;100.63;52.27;73.67;1.3;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;5;1;1;2010;101.20;51.55;73.00;1.3;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;6;1;1;2010;100.85;49.45;74.00;1.3;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;7;1;1;2010;100.83;52.17;71.33;1.3;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;8;1;1;2010;100.97;51.67;75.00;1.3;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;9;1;1;2010;100.65;48.75;75.00;1.3;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;10;1;1;2010;100.27;48.53;75.00;1.2;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;11;1;1;2010;100.80;49.20;73.00;1.2;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;12;1;1;2010;97.73;44.57;85.33;1.4;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;13;1;1;2010;97.00;45.90;88.00;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;14;1;1;2010;95.55;47.45;85.50;1.6;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;15;1;1;2010;93.10;44.35;95.50;1.7;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;16;1;1;2010;90.40;50.43;80.67;1.8;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;17;1;1;2010;88.93;51.47;68.67;1.6;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;18;1;1;2010;91.45;48.40;81.00;1.7;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;19;1;1;2010;92.90;39.50;108.50;1.8;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;20;1;1;2010;94.00;46.15;90.75;1.7;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;21;1;1;2010;94.55;49.95;78.50;1.6;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;22;1;1;2010;94.67;48.57;77.67;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;23;1;1;2010;94.93;51.03;70.00;1.4;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;0;2;1;2010;94.47;48.83;80.67;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;1;2;1;2010;94.67;51.23;76.67;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;2;2;1;2010;95.03;51.73;71.67;1.4;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;3;2;1;2010;97.03;50.67;66.67;1.3;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;4;2;1;2010;97.63;51.67;74.67;1.4;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;5;2;1;2010;95.83;51.40;73.33;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;6;2;1;2010;97.18;51.23;74.50;1.4;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;7;2;1;2010;97.03;51.23;64.00;1.2;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;8;2;1;2010;97.10;49.20;76.50;1.4;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;9;2;1;2010;96.10;43.55;88.00;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;10;2;1;2010;95.90;45.50;87.50;1.6;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;11;2;1;2010;94.05;48.35;80.00;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;12;2;1;2010;95.03;45.30;76.00;1.3;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;13;2;1;2010;93.55;47.95;77.50;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;14;2;1;2010;93.43;45.63;90.00;1.6;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;15;2;1;2010;93.38;49.23;79.00;1.6;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;16;2;1;2010;95.80;50.17;74.67;1.4;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;17;2;1;2010;95.30;48.86;80.20;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;18;2;1;2010;95.25;47.90;82.25;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;19;2;1;2010;95.95;47.45;79.00;1.5;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;20;2;1;2010;96.63;46.77;94.00;1.6;0.00;0.0
1321;KOCHANOWSKIEGO 46 A                     ;LG  ;21;2;1;2010;96.80;41.50;110.00;1.8;0.00;0.0
