lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
13256;Igańska 12                              ;LG  ;0;1;1;2010;96.09;46.59;54.57;1.0;101.20;1.5
13256;Igańska 12                              ;LG  ;1;1;1;2010;95.77;48.10;51.77;0.9;101.20;1.5
13256;Igańska 12                              ;LG  ;2;1;1;2010;95.24;49.64;49.50;1.0;101.20;1.5
13256;Igańska 12                              ;LG  ;3;1;1;2010;96.07;49.59;50.63;1.0;101.20;1.5
13256;Igańska 12                              ;LG  ;4;1;1;2010;96.10;47.88;53.45;1.0;0.00;0.0
13256;Igańska 12                              ;LG  ;5;1;1;2010;97.05;49.50;50.40;0.9;50.30;0.9
13256;Igańska 12                              ;LG  ;6;1;1;2010;97.48;50.35;49.10;0.9;50.30;0.9
13256;Igańska 12                              ;LG  ;7;1;1;2010;96.29;46.92;54.30;1.0;50.30;0.9
13256;Igańska 12                              ;LG  ;8;1;1;2010;97.19;49.64;50.83;0.9;52.80;0.9
13256;Igańska 12                              ;LG  ;9;1;1;2010;95.60;45.22;55.10;1.0;54.10;0.9
13256;Igańska 12                              ;LG  ;10;1;1;2010;95.70;48.44;51.10;0.9;54.10;0.9
13256;Igańska 12                              ;LG  ;11;1;1;2010;95.02;42.35;66.13;1.0;54.10;0.9
13256;Igańska 12                              ;LG  ;12;1;1;2010;94.83;41.70;61.87;1.0;58.40;1.0
13256;Igańska 12                              ;LG  ;13;1;1;2010;94.17;43.91;62.65;1.1;58.60;1.0
13256;Igańska 12                              ;LG  ;14;1;1;2010;93.80;45.26;57.45;1.0;66.30;1.1
13256;Igańska 12                              ;LG  ;15;1;1;2010;89.74;46.15;59.20;1.2;66.30;1.1
13256;Igańska 12                              ;LG  ;16;1;1;2010;89.75;46.24;56.80;1.2;66.30;1.2
13256;Igańska 12                              ;LG  ;17;1;1;2010;89.60;42.97;65.13;1.2;66.30;1.2
13256;Igańska 12                              ;LG  ;18;1;1;2010;90.24;44.88;62.90;1.2;66.30;1.2
13256;Igańska 12                              ;LG  ;19;1;1;2010;89.37;45.95;55.17;1.1;66.30;1.2
13256;Igańska 12                              ;LG  ;20;1;1;2010;90.39;44.12;59.90;1.1;66.30;1.2
13256;Igańska 12                              ;LG  ;21;1;1;2010;90.88;47.73;54.17;1.1;66.30;1.2
13256;Igańska 12                              ;LG  ;22;1;1;2010;90.70;49.61;50.40;1.1;66.30;1.2
13256;Igańska 12                              ;LG  ;23;1;1;2010;90.52;50.06;49.27;1.1;66.30;1.2
13256;Igańska 12                              ;LG  ;0;2;1;2010;90.40;49.72;48.93;1.1;66.30;1.2
13256;Igańska 12                              ;LG  ;1;2;1;2010;91.57;50.18;50.05;1.1;66.30;1.2
13256;Igańska 12                              ;LG  ;2;2;1;2010;93.99;50.29;47.45;1.0;66.30;1.2
13256;Igańska 12                              ;LG  ;3;2;1;2010;95.17;50.15;48.63;1.0;66.30;1.2
13256;Igańska 12                              ;LG  ;4;2;1;2010;95.40;50.18;48.83;0.9;66.30;1.2
13256;Igańska 12                              ;LG  ;5;2;1;2010;94.66;48.70;50.30;0.9;66.30;1.2
13256;Igańska 12                              ;LG  ;6;2;1;2010;94.01;49.37;49.15;1.0;66.30;1.2
13256;Igańska 12                              ;LG  ;7;2;1;2010;93.62;43.78;55.30;1.0;66.30;1.2
13256;Igańska 12                              ;LG  ;8;2;1;2010;93.09;44.57;58.20;1.1;66.30;1.2
13256;Igańska 12                              ;LG  ;9;2;1;2010;93.90;45.31;59.55;1.1;66.30;1.2
13256;Igańska 12                              ;LG  ;10;2;1;2010;93.74;43.69;62.63;1.1;66.30;1.2
13256;Igańska 12                              ;LG  ;11;2;1;2010;93.44;36.87;84.50;1.3;66.30;1.2
13256;Igańska 12                              ;LG  ;12;2;1;2010;93.47;42.04;59.45;1.0;76.50;1.2
13256;Igańska 12                              ;LG  ;13;2;1;2010;93.16;46.01;56.65;1.1;76.50;1.2
13256;Igańska 12                              ;LG  ;14;2;1;2010;90.68;42.42;65.00;1.2;76.50;1.2
13256;Igańska 12                              ;LG  ;15;2;1;2010;86.21;47.92;52.23;1.2;76.50;1.2
13256;Igańska 12                              ;LG  ;16;2;1;2010;56.48;33.09;40.50;1.5;76.50;1.3
13256;Igańska 12                              ;LG  ;17;2;1;2010;49.84;30.09;33.60;1.5;76.50;1.4
13256;Igańska 12                              ;LG  ;18;2;1;2010;76.24;39.58;62.77;1.5;76.50;1.5
13256;Igańska 12                              ;LG  ;19;2;1;2010;88.82;45.67;62.58;1.3;76.50;1.5
13256;Igańska 12                              ;LG  ;20;2;1;2010;85.22;48.10;53.77;1.3;76.50;1.5
13256;Igańska 12                              ;LG  ;21;2;1;2010;86.76;43.55;65.20;1.3;76.50;1.5
13256;Igańska 12                              ;LG  ;22;2;1;2010;92.06;48.14;55.88;1.1;76.50;1.5
13256;Igańska 12                              ;LG  ;23;2;1;2010;92.27;47.42;57.17;1.1;76.50;1.5
13256;Igańska 12                              ;LG  ;0;3;1;2010;91.38;50.52;53.13;1.2;76.50;1.5
13256;Igańska 12                              ;LG  ;1;3;1;2010;88.64;46.53;63.33;1.3;76.50;1.5
13256;Igańska 12                              ;LG  ;2;3;1;2010;91.19;51.47;51.85;1.2;76.50;1.5
13256;Igańska 12                              ;LG  ;3;3;1;2010;95.07;50.86;52.30;1.0;76.50;1.5
13256;Igańska 12                              ;LG  ;4;3;1;2010;93.20;51.42;51.33;1.1;76.50;1.5
13256;Igańska 12                              ;LG  ;5;3;1;2010;91.04;51.86;51.80;1.2;76.50;1.5
13256;Igańska 12                              ;LG  ;6;3;1;2010;91.63;51.36;51.35;1.1;76.50;1.5
13256;Igańska 12                              ;LG  ;7;3;1;2010;92.04;51.92;53.50;1.2;76.50;1.5
13256;Igańska 12                              ;LG  ;8;3;1;2010;92.43;43.63;76.17;1.3;76.50;1.5
13256;Igańska 12                              ;LG  ;9;3;1;2010;91.34;50.75;56.20;1.2;76.50;1.5
13256;Igańska 12                              ;LG  ;10;3;1;2010;91.96;43.57;70.65;1.3;76.50;1.5
13256;Igańska 12                              ;LG  ;11;3;1;2010;89.51;40.97;79.48;1.4;76.50;1.5
13256;Igańska 12                              ;LG  ;12;3;1;2010;94.41;48.44;76.25;1.5;76.50;1.5
13256;Igańska 12                              ;LG  ;13;3;1;2010;95.62;46.72;66.18;1.2;88.80;1.5
