lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
13708;WALECZNYCH 70 m/uő                      ;LG  ;0;1;1;2010;93.33;50.95;30.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;1;1;1;2010;95.97;53.10;31.33;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;2;1;1;2010;96.63;52.83;32.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;3;1;1;2010;96.63;53.03;32.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;4;1;1;2010;98.00;53.53;32.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;5;1;1;2010;97.80;53.53;32.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;6;1;1;2010;96.60;53.47;31.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;7;1;1;2010;96.60;53.40;31.25;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;8;1;1;2010;96.00;53.20;31.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;9;1;1;2010;95.83;53.13;31.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;10;1;1;2010;95.25;52.95;31.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;11;1;1;2010;94.40;52.65;30.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;12;1;1;2010;94.00;52.33;30.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;13;1;1;2010;93.57;52.20;29.67;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;14;1;1;2010;90.43;51.57;27.67;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;15;1;1;2010;89.23;50.77;27.67;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;16;1;1;2010;89.33;50.33;28.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;17;1;1;2010;89.17;50.40;27.67;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;18;1;1;2010;88.93;50.63;27.67;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;19;1;1;2010;89.73;50.67;28.33;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;20;1;1;2010;90.33;50.83;28.67;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;21;1;1;2010;90.60;51.07;28.67;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;22;1;1;2010;90.37;51.00;28.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;23;1;1;2010;90.33;50.93;28.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;0;2;1;2010;90.85;51.03;28.75;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;1;2;1;2010;94.70;51.93;31.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;2;2;1;2010;95.43;52.58;31.25;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;3;2;1;2010;95.35;52.85;31.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;4;2;1;2010;94.93;52.93;31.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;5;2;1;2010;94.23;52.87;30.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;6;2;1;2010;93.90;52.77;30.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;7;2;1;2010;93.00;52.43;29.50;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;8;2;1;2010;94.30;52.30;30.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;9;2;1;2010;93.57;51.87;30.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;10;2;1;2010;93.05;51.75;30.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;11;2;1;2010;93.53;51.80;30.00;0.6;0.00;0.0
13708;WALECZNYCH 70 m/uő                      ;LG  ;12;2;1;2010;92.37;52.03;30.00;0.7;0.00;0.0
