lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
15570;LECHONIA J 5                            ;LG  ;0;1;1;2010;86.55;48.98;17.50;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;1;1;1;2010;88.20;50.10;18.00;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;2;1;1;2010;87.95;50.10;17.80;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;3;1;1;2010;88.35;50.68;17.63;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;4;1;1;2010;88.95;50.70;17.80;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;5;1;1;2010;89.60;51.23;17.93;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;6;1;1;2010;89.40;51.70;17.50;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;7;1;1;2010;89.20;51.10;17.50;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;8;1;1;2010;89.30;51.60;17.30;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;9;1;1;2010;89.30;51.90;17.40;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;10;1;1;2010;88.85;50.60;18.00;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;11;1;1;2010;88.80;51.10;17.30;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;12;1;1;2010;87.25;51.20;16.15;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;13;1;1;2010;85.83;50.28;15.70;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;14;1;1;2010;84.75;50.65;15.30;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;15;1;1;2010;83.05;49.15;14.80;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;16;1;1;2010;80.65;48.75;13.90;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;17;1;1;2010;78.67;48.03;13.40;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;18;1;1;2010;81.45;47.50;15.60;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;19;1;1;2010;82.23;48.47;15.27;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;20;1;1;2010;82.90;49.27;15.30;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;21;1;1;2010;83.37;49.37;15.60;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;22;1;1;2010;83.60;49.20;15.53;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;23;1;1;2010;84.00;49.20;16.00;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;0;2;1;2010;82.53;49.18;15.33;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;1;2;1;2010;84.20;49.43;16.00;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;2;2;1;2010;83.00;49.45;15.40;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;3;2;1;2010;85.40;49.93;16.08;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;4;2;1;2010;86.23;50.47;16.43;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;5;2;1;2010;85.70;50.58;16.23;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;6;2;1;2010;85.97;50.30;16.67;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;7;2;1;2010;85.95;50.43;16.40;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;8;2;1;2010;85.95;50.30;16.35;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;9;2;1;2010;85.15;50.35;15.95;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;10;2;1;2010;84.45;49.95;15.10;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;11;2;1;2010;83.40;49.53;15.57;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;12;2;1;2010;83.63;49.05;15.93;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;13;2;1;2010;83.10;49.05;15.25;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;14;2;1;2010;82.10;48.80;15.30;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;15;2;1;2010;82.43;49.00;15.40;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;16;2;1;2010;83.45;48.80;15.10;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;17;2;1;2010;84.53;49.28;16.03;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;18;2;1;2010;84.07;49.13;15.80;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;19;2;1;2010;84.67;49.40;16.23;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;20;2;1;2010;85.20;49.50;16.15;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;21;2;1;2010;85.40;49.80;16.37;0.4;0.00;0.0
15570;LECHONIA J 5                            ;LG  ;22;2;1;2010;84.80;49.75;16.10;0.4;0.00;0.0
