lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;0;1;1;2010;92.26;52.12;232.83;5.0;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;1;1;1;2010;92.29;52.00;229.90;5.0;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;2;1;1;2010;92.28;51.84;238.13;5.1;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;3;1;1;2010;92.96;48.76;252.60;5.0;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;4;1;1;2010;93.53;52.92;231.80;5.0;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;5;1;1;2010;94.77;53.47;225.45;4.8;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;6;1;1;2010;94.97;52.95;231.73;4.8;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;7;1;1;2010;95.76;50.85;247.30;4.8;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;8;1;1;2010;96.46;52.26;242.30;4.8;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;9;1;1;2010;96.88;45.50;268.80;4.5;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;10;1;1;2010;96.46;43.78;266.93;4.4;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;11;1;1;2010;96.85;45.20;258.80;4.4;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;12;1;1;2010;96.62;47.39;251.87;4.5;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;13;1;1;2010;96.87;44.72;264.20;4.4;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;14;1;1;2010;97.42;43.68;275.10;4.5;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;15;1;1;2010;96.98;42.53;296.33;4.6;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;16;1;1;2010;95.17;49.50;253.47;4.8;385.20;6.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;17;1;1;2010;94.89;48.63;248.95;4.7;317.45;5.6
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;18;1;1;2010;94.35;50.23;248.40;4.9;249.70;4.7
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;19;1;1;2010;94.28;46.38;263.00;4.8;261.10;4.8
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;20;1;1;2010;93.65;50.24;241.75;4.9;270.40;4.8
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;21;1;1;2010;91.06;49.53;237.35;5.0;270.40;4.9
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;22;1;1;2010;89.56;46.41;260.07;5.2;270.40;5.0
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;23;1;1;2010;88.92;48.92;250.85;5.5;270.40;5.3
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;0;2;1;2010;89.56;52.80;226.90;5.4;270.40;5.4
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;1;2;1;2010;91.01;53.05;222.90;5.1;270.40;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;2;2;1;2010;91.11;53.07;220.10;5.0;270.40;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;3;2;1;2010;90.91;52.90;219.10;5.1;270.40;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;4;2;1;2010;90.88;53.12;218.57;5.0;270.40;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;5;2;1;2010;91.49;52.11;224.80;5.0;270.40;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;6;2;1;2010;91.15;53.11;220.67;5.0;270.40;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;7;2;1;2010;91.88;52.52;222.95;5.0;270.40;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;8;2;1;2010;92.67;46.43;252.50;4.9;270.40;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;10;2;1;2010;93.87;44.29;271.40;4.9;272.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;11;2;1;2010;93.80;43.10;285.98;4.9;277.78;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;12;2;1;2010;93.74;40.36;301.27;4.9;289.80;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;13;2;1;2010;94.10;44.68;274.27;4.8;308.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;14;2;1;2010;93.65;45.95;268.70;4.9;308.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;15;2;1;2010;93.36;46.39;251.95;4.7;308.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;16;2;1;2010;92.67;49.81;249.53;5.1;308.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;17;2;1;2010;92.77;49.60;246.60;5.0;308.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;18;2;1;2010;91.71;52.21;227.15;5.0;308.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;19;2;1;2010;92.23;46.76;266.90;5.1;308.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;20;2;1;2010;91.83;46.05;269.50;5.1;308.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;21;2;1;2010;91.90;49.79;259.90;5.4;308.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;22;2;1;2010;91.33;46.71;286.70;5.6;308.00;5.5
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;23;2;1;2010;91.74;49.59;266.40;5.5;308.00;5.6
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;0;3;1;2010;91.94;51.16;250.60;5.4;308.00;5.6
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;1;3;1;2010;92.67;54.86;233.55;5.4;308.00;5.6
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;2;3;1;2010;92.59;53.00;250.50;5.5;308.00;5.6
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;3;3;1;2010;92.94;55.31;238.65;5.5;308.00;5.6
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;4;3;1;2010;92.90;54.61;242.00;5.5;308.00;5.6
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;5;3;1;2010;92.85;55.30;240.90;5.6;308.00;5.6
18263;LAZUROWA 6 (włzeł B)                    ;LG  ;6;3;1;2010;92.14;55.72;243.60;5.8;308.00;5.7
