lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
19254;Komorska 4w2                            ;LG  ;0;1;1;2010;101.37;52.23;280.67;5.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;1;1;1;2010;100.90;48.90;303.00;5.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;2;1;1;2010;101.53;54.20;267.67;5.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;3;1;1;2010;101.65;55.55;261.50;5.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;4;1;1;2010;101.45;56.25;260.50;5.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;5;1;1;2010;102.40;56.00;265.00;5.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;6;1;1;2010;103.05;55.55;261.75;4.8;0.00;0.0
19254;Komorska 4w2                            ;LG  ;7;1;1;2010;101.70;54.25;270.00;5.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;8;1;1;2010;102.23;53.10;279.00;5.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;9;1;1;2010;100.90;50.03;294.33;5.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;10;1;1;2010;101.25;48.30;306.00;5.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;11;1;1;2010;100.13;45.73;310.67;5.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;12;1;1;2010;100.20;48.10;313.50;5.3;0.00;0.0
19254;Komorska 4w2                            ;LG  ;13;1;1;2010;99.00;48.55;315.00;5.4;0.00;0.0
19254;Komorska 4w2                            ;LG  ;14;1;1;2010;98.90;48.50;321.00;5.6;0.00;0.0
19254;Komorska 4w2                            ;LG  ;15;1;1;2010;95.40;53.63;280.33;5.9;0.00;0.0
19254;Komorska 4w2                            ;LG  ;16;1;1;2010;94.00;55.47;283.33;6.4;0.00;0.0
19254;Komorska 4w2                            ;LG  ;17;1;1;2010;94.23;51.83;307.00;6.3;0.00;0.0
19254;Komorska 4w2                            ;LG  ;18;1;1;2010;93.77;53.57;295.67;6.4;0.00;0.0
19254;Komorska 4w2                            ;LG  ;19;1;1;2010;93.93;53.33;299.00;6.4;0.00;0.0
19254;Komorska 4w2                            ;LG  ;20;1;1;2010;94.50;51.60;322.33;6.5;0.00;0.0
19254;Komorska 4w2                            ;LG  ;21;1;1;2010;95.35;50.60;305.00;6.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;22;1;1;2010;95.33;51.53;299.00;6.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;23;1;1;2010;95.23;54.03;282.00;6.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;0;2;1;2010;95.10;56.43;266.33;6.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;1;2;1;2010;95.73;56.50;261.33;5.8;0.00;0.0
19254;Komorska 4w2                            ;LG  ;2;2;1;2010;98.77;56.57;259.33;5.4;0.00;0.0
19254;Komorska 4w2                            ;LG  ;3;2;1;2010;100.40;56.00;254.67;5.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;4;2;1;2010;100.97;55.90;262.00;5.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;5;2;1;2010;100.00;54.80;267.33;5.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;6;2;1;2010;99.30;54.85;271.25;5.4;0.00;0.0
19254;Komorska 4w2                            ;LG  ;7;2;1;2010;98.60;50.60;304.00;5.5;0.00;0.0
19254;Komorska 4w2                            ;LG  ;8;2;1;2010;97.57;52.03;299.67;5.7;0.00;0.0
19254;Komorska 4w2                            ;LG  ;9;2;1;2010;99.10;48.40;319.50;5.5;0.00;0.0
19254;Komorska 4w2                            ;LG  ;10;2;1;2010;98.70;47.97;345.00;5.9;0.00;0.0
19254;Komorska 4w2                            ;LG  ;11;2;1;2010;98.30;50.77;296.00;5.5;0.00;0.0
19254;Komorska 4w2                            ;LG  ;12;2;1;2010;98.63;50.07;298.00;5.4;0.00;0.0
19254;Komorska 4w2                            ;LG  ;13;2;1;2010;95.67;50.30;311.67;6.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;14;2;1;2010;89.80;51.50;302.00;7.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;15;2;1;2010;62.95;47.88;122.25;7.2;0.00;0.0
19254;Komorska 4w2                            ;LG  ;16;2;1;2010;50.98;38.60;102.50;7.2;0.00;0.0
19254;Komorska 4w2                            ;LG  ;17;2;1;2010;72.20;44.00;233.50;7.2;0.00;0.0
19254;Komorska 4w2                            ;LG  ;18;2;1;2010;94.20;47.63;382.00;7.2;0.00;0.0
19254;Komorska 4w2                            ;LG  ;19;2;1;2010;91.37;51.60;328.00;7.2;0.00;0.0
19254;Komorska 4w2                            ;LG  ;20;2;1;2010;89.77;50.30;326.33;7.2;0.00;0.0
19254;Komorska 4w2                            ;LG  ;21;2;1;2010;95.95;52.20;348.00;7.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;22;2;1;2010;98.27;51.13;339.67;6.3;0.00;0.0
19254;Komorska 4w2                            ;LG  ;23;2;1;2010;96.27;57.83;284.67;6.5;0.00;0.0
19254;Komorska 4w2                            ;LG  ;0;3;1;2010;92.70;57.40;287.00;7.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;1;3;1;2010;93.75;58.65;284.00;7.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;2;3;1;2010;100.80;57.80;279.50;5.7;0.00;0.0
19254;Komorska 4w2                            ;LG  ;3;3;1;2010;98.70;56.75;305.00;6.4;0.00;0.0
19254;Komorska 4w2                            ;LG  ;4;3;1;2010;95.95;59.30;286.00;6.9;0.00;0.0
19254;Komorska 4w2                            ;LG  ;5;3;1;2010;95.35;59.75;290.50;7.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;6;3;1;2010;96.73;59.77;301.67;7.2;0.00;0.0
19254;Komorska 4w2                            ;LG  ;7;3;1;2010;97.40;60.05;301.50;7.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;8;3;1;2010;96.30;56.67;320.67;7.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;9;3;1;2010;96.80;55.45;334.50;7.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;10;3;1;2010;95.63;51.88;357.50;7.2;0.00;0.0
19254;Komorska 4w2                            ;LG  ;11;3;1;2010;94.10;49.70;366.00;7.2;0.00;0.0
19254;Komorska 4w2                            ;LG  ;12;3;1;2010;100.57;54.03;369.33;6.9;0.00;0.0
19254;Komorska 4w2                            ;LG  ;13;3;1;2010;100.85;54.90;341.50;6.5;0.00;0.0
19254;Komorska 4w2                            ;LG  ;14;3;1;2010;105.10;50.80;375.00;6.0;0.00;0.0
19254;Komorska 4w2                            ;LG  ;15;3;1;2010;107.23;52.63;358.67;5.8;0.00;0.0
19254;Komorska 4w2                            ;LG  ;16;3;1;2010;107.25;54.50;342.50;5.7;0.00;0.0
19254;Komorska 4w2                            ;LG  ;17;3;1;2010;108.85;57.35;360.50;6.2;0.00;0.0
19254;Komorska 4w2                            ;LG  ;18;3;1;2010;108.85;55.95;380.50;6.3;0.00;0.0
19254;Komorska 4w2                            ;LG  ;19;3;1;2010;109.47;55.07;411.67;6.6;0.00;0.0
19254;Komorska 4w2                            ;LG  ;20;3;1;2010;108.00;48.40;485.00;7.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;21;3;1;2010;107.77;52.73;437.67;6.9;0.00;0.0
19254;Komorska 4w2                            ;LG  ;22;3;1;2010;109.10;55.60;406.00;6.6;0.00;0.0
19254;Komorska 4w2                            ;LG  ;23;3;1;2010;108.50;62.50;348.50;6.7;0.00;0.0
19254;Komorska 4w2                            ;LG  ;1;4;1;2010;106.63;63.93;346.67;7.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;2;4;1;2010;107.80;64.90;349.00;7.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;3;4;1;2010;108.05;64.80;350.00;7.1;0.00;0.0
19254;Komorska 4w2                            ;LG  ;4;4;1;2010;108.10;60.50;354.00;6.5;0.00;0.0
