lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
19456;Anieli Krzywoń 2 w1                     ;LG  ;0;1;1;2010;93.78;50.48;218.07;4.4;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;1;1;1;2010;93.50;46.36;239.30;4.5;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;2;1;1;2010;93.39;49.04;221.35;4.4;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;3;1;1;2010;93.69;50.23;223.15;4.5;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;4;1;1;2010;94.22;51.26;217.05;4.4;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;5;1;1;2010;94.51;50.24;222.75;4.4;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;6;1;1;2010;95.20;51.14;219.45;4.3;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;7;1;1;2010;95.64;51.28;222.20;4.4;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;8;1;1;2010;96.16;49.09;233.30;4.3;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;9;1;1;2010;95.79;43.89;312.60;5.2;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;10;1;1;2010;96.27;44.34;245.90;4.1;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;11;1;1;2010;96.44;43.52;258.25;4.3;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;12;1;1;2010;96.93;45.35;252.25;4.2;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;13;1;1;2010;97.22;46.31;243.70;4.2;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;14;1;1;2010;97.23;46.25;226.30;3.9;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;15;1;1;2010;97.42;48.28;234.35;4.2;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;16;1;1;2010;97.63;44.61;261.15;4.3;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;17;1;1;2010;97.33;47.20;233.90;4.1;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;18;1;1;2010;94.86;48.05;229.00;4.2;359.10;5.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;19;1;1;2010;94.12;46.77;253.35;4.7;301.90;5.2
19456;Anieli Krzywoń 2 w1                     ;LG  ;20;1;1;2010;91.98;46.27;253.05;4.8;247.30;4.6
19456;Anieli Krzywoń 2 w1                     ;LG  ;21;1;1;2010;89.85;48.20;228.05;4.8;249.90;4.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;22;1;1;2010;89.25;45.78;264.40;5.2;249.90;4.9
19456;Anieli Krzywoń 2 w1                     ;LG  ;23;1;1;2010;90.57;50.37;217.90;4.7;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;0;2;1;2010;91.67;48.54;229.70;4.6;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;1;2;1;2010;91.77;50.18;211.77;4.4;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;2;2;1;2010;91.89;49.44;218.75;4.5;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;3;2;1;2010;92.15;50.29;216.70;4.5;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;4;2;1;2010;92.30;50.81;209.55;4.4;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;5;2;1;2010;90.91;50.40;213.70;4.6;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;6;2;1;2010;91.71;50.48;213.30;4.5;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;7;2;1;2010;91.75;47.81;232.30;4.6;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;8;2;1;2010;93.28;47.84;242.30;4.7;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;9;2;1;2010;94.04;45.21;278.70;5.0;249.90;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;10;2;1;2010;94.23;46.46;244.73;4.4;253.40;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;11;2;1;2010;93.75;44.87;272.40;4.8;260.40;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;12;2;1;2010;94.70;44.59;264.18;4.6;265.75;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;13;2;1;2010;94.35;40.58;353.30;5.7;271.10;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;14;2;1;2010;94.25;48.37;238.30;4.5;271.10;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;15;2;1;2010;94.29;47.54;252.63;4.7;271.10;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;16;2;1;2010;93.80;47.45;245.13;4.6;271.10;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;17;2;1;2010;93.15;47.14;255.70;4.9;271.10;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;18;2;1;2010;92.85;46.75;248.65;4.7;271.10;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;19;2;1;2010;92.04;46.67;266.80;5.1;271.10;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;20;2;1;2010;92.23;48.23;253.00;5.0;271.10;5.0
19456;Anieli Krzywoń 2 w1                     ;LG  ;21;2;1;2010;92.59;46.57;275.97;5.2;271.10;5.1
19456;Anieli Krzywoń 2 w1                     ;LG  ;22;2;1;2010;92.25;48.57;266.40;5.3;271.10;5.2
19456;Anieli Krzywoń 2 w1                     ;LG  ;23;2;1;2010;92.30;50.10;245.50;5.1;271.10;5.3
19456;Anieli Krzywoń 2 w1                     ;LG  ;0;3;1;2010;92.70;47.43;277.60;5.3;271.10;5.3
19456;Anieli Krzywoń 2 w1                     ;LG  ;1;3;1;2010;93.06;51.55;241.25;5.1;271.10;5.3
19456;Anieli Krzywoń 2 w1                     ;LG  ;2;3;1;2010;93.72;52.71;230.60;4.9;271.10;5.3
19456;Anieli Krzywoń 2 w1                     ;LG  ;3;3;1;2010;93.74;52.83;236.80;5.1;271.10;5.3
19456;Anieli Krzywoń 2 w1                     ;LG  ;4;3;1;2010;94.35;53.07;236.73;5.0;271.10;5.3
19456;Anieli Krzywoń 2 w1                     ;LG  ;5;3;1;2010;93.86;53.28;239.85;5.2;271.10;5.3
19456;Anieli Krzywoń 2 w1                     ;LG  ;6;3;1;2010;93.60;52.94;240.30;5.1;271.10;5.3
19456;Anieli Krzywoń 2 w1                     ;LG  ;7;3;1;2010;92.50;51.93;259.25;5.6;271.10;5.5
19456;Anieli Krzywoń 2 w1                     ;LG  ;8;3;1;2010;92.67;48.92;272.97;5.4;271.10;5.6
19456;Anieli Krzywoń 2 w1                     ;LG  ;9;3;1;2010;92.87;48.11;267.05;5.2;272.40;5.6
19456;Anieli Krzywoń 2 w1                     ;LG  ;10;3;1;2010;92.98;47.92;280.95;5.4;276.20;5.6
19456;Anieli Krzywoń 2 w1                     ;LG  ;11;3;1;2010;93.54;49.43;283.13;5.6;282.90;5.6
19456;Anieli Krzywoń 2 w1                     ;LG  ;12;3;1;2010;94.11;51.56;280.00;5.7;291.30;5.6
19456;Anieli Krzywoń 2 w1                     ;LG  ;13;3;1;2010;93.76;50.09;287.60;5.8;295.15;5.7
19456;Anieli Krzywoń 2 w1                     ;LG  ;14;3;1;2010;93.96;48.99;301.20;5.8;299.00;5.7
19456;Anieli Krzywoń 2 w1                     ;LG  ;15;3;1;2010;95.88;49.24;309.77;5.8;299.97;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;16;3;1;2010;97.06;50.01;312.95;5.8;303.80;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;17;3;1;2010;97.62;54.60;282.80;5.7;305.70;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;18;3;1;2010;97.76;44.86;338.30;5.5;305.70;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;19;3;1;2010;99.52;50.67;311.60;5.5;305.70;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;20;3;1;2010;101.43;51.18;325.40;5.6;311.53;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;21;3;1;2010;102.21;51.09;321.05;5.5;326.25;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;22;3;1;2010;102.84;51.18;333.20;5.6;334.30;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;23;3;1;2010;103.25;55.91;305.40;5.6;344.30;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;1;4;1;2010;103.15;57.83;292.00;5.7;344.30;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;2;4;1;2010;102.88;57.93;297.00;5.8;344.30;5.8
19456;Anieli Krzywoń 2 w1                     ;LG  ;4;4;1;2010;102.30;56.66;270.30;5.2;344.30;5.8
