lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;0;1;1;2010;92.97;50.41;109.10;2.2;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;1;1;1;2010;92.25;56.31;87.50;2.1;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;2;1;1;2010;91.81;57.42;84.60;2.1;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;3;1;1;2010;91.67;57.59;83.75;2.2;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;4;1;1;2010;91.89;57.88;83.80;2.2;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;5;1;1;2010;92.05;56.91;85.40;2.1;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;6;1;1;2010;92.94;54.08;94.40;2.1;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;7;1;1;2010;94.03;58.29;88.40;2.2;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;8;1;1;2010;94.98;58.76;89.10;2.2;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;9;1;1;2010;95.20;56.89;94.37;2.2;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;10;1;1;2010;95.82;55.24;100.60;2.2;144.40;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;11;1;1;2010;96.44;51.60;108.25;2.1;0.00;0.0
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;12;1;1;2010;96.80;49.66;118.60;2.2;99.70;2.1
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;13;1;1;2010;97.02;52.44;109.60;2.2;108.30;2.2
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;14;1;1;2010;97.07;54.39;104.87;2.1;108.30;2.2
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;15;1;1;2010;97.16;57.77;93.13;2.1;108.30;2.2
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;16;1;1;2010;97.00;57.66;91.67;2.0;108.30;2.2
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;17;1;1;2010;96.30;54.55;96.17;2.0;108.30;2.2
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;18;1;1;2010;94.70;52.94;98.40;2.1;108.30;2.2
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;19;1;1;2010;92.46;56.25;85.13;2.1;108.30;2.2
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;20;1;1;2010;90.04;52.10;96.33;2.2;108.30;2.2
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;21;1;1;2010;88.51;58.39;74.20;2.2;108.30;2.2
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;22;1;1;2010;87.81;52.33;91.64;2.3;108.30;2.2
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;23;1;1;2010;86.88;52.28;89.97;2.3;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;0;2;1;2010;87.78;56.57;77.40;2.2;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;1;2;1;2010;89.25;55.60;81.95;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;2;2;1;2010;89.80;57.33;78.70;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;3;2;1;2010;89.57;56.34;81.00;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;4;2;1;2010;90.51;57.09;82.40;2.2;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;5;2;1;2010;90.61;56.61;83.10;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;6;2;1;2010;89.56;56.89;79.35;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;7;2;1;2010;89.77;56.81;80.30;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;8;2;1;2010;90.24;53.63;89.65;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;9;2;1;2010;92.00;55.60;93.40;2.2;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;10;2;1;2010;92.68;51.93;101.60;2.2;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;11;2;1;2010;93.28;53.23;101.03;2.2;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;12;2;1;2010;92.76;51.94;100.87;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;13;2;1;2010;93.43;52.94;97.00;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;14;2;1;2010;93.53;56.87;87.55;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;15;2;1;2010;92.94;54.77;91.50;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;16;2;1;2010;92.11;55.81;87.50;2.1;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;17;2;1;2010;90.49;54.12;91.60;2.2;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;18;2;1;2010;90.00;54.31;88.83;2.2;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;19;2;1;2010;89.73;54.55;87.70;2.2;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;20;2;1;2010;90.32;57.22;87.00;2.3;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;21;2;1;2010;90.87;54.25;92.60;2.2;108.30;2.3
22216;STRUMYKOWA 29E OŚ.BUCZYNEK I            ;LG  ;22;2;1;2010;90.02;55.90;87.00;2.2;108.30;2.3
