lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
2550;WIELUŃSKA 8                             ;LG  ;0;1;1;2010;95.00;42.33;67.28;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;1;1;1;2010;97.23;38.53;75.53;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;2;1;1;2010;97.87;41.33;72.17;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;3;1;1;2010;97.90;44.33;68.30;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;4;1;1;2010;98.65;44.50;68.70;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;5;1;1;2010;99.48;44.70;70.05;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;6;1;1;2010;99.50;40.00;74.90;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;7;1;1;2010;99.15;43.30;69.13;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;8;1;1;2010;99.37;41.57;72.70;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;9;1;1;2010;99.45;38.05;77.70;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;10;1;1;2010;99.55;43.50;71.10;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;11;1;1;2010;99.00;38.30;75.45;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;12;1;1;2010;97.80;35.30;75.90;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;13;1;1;2010;95.30;31.45;76.75;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;14;1;1;2010;93.75;37.10;67.75;1.0;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;15;1;1;2010;91.80;36.20;66.43;1.0;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;16;1;1;2010;89.43;39.53;60.63;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;17;1;1;2010;87.43;39.13;58.87;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;18;1;1;2010;87.90;40.05;60.45;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;19;1;1;2010;91.45;34.80;71.10;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;20;1;1;2010;91.55;40.05;65.10;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;21;1;1;2010;92.25;31.83;76.78;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;22;1;1;2010;92.80;34.63;71.67;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;23;1;1;2010;93.20;41.07;63.50;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;0;2;1;2010;91.95;39.98;63.20;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;1;2;1;2010;92.20;41.10;64.80;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;2;2;1;2010;92.33;41.00;64.93;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;3;2;1;2010;94.93;42.67;66.53;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;4;2;1;2010;95.33;42.63;66.88;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;5;2;1;2010;95.93;43.08;66.90;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;6;2;1;2010;95.10;43.03;65.60;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;7;2;1;2010;95.60;40.30;68.97;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;8;2;1;2010;95.63;37.30;71.83;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;9;2;1;2010;95.40;35.87;72.27;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;10;2;1;2010;95.08;34.03;74.15;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;11;2;1;2010;94.60;36.40;70.28;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;12;2;1;2010;93.30;39.50;67.27;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;13;2;1;2010;93.20;32.80;74.83;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;14;2;1;2010;91.43;30.60;73.63;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;15;2;1;2010;92.23;36.93;66.90;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;16;2;1;2010;93.10;32.50;73.75;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;17;2;1;2010;94.30;35.65;72.90;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;18;2;1;2010;93.00;35.07;70.03;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;19;2;1;2010;93.77;40.53;66.10;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;20;2;1;2010;94.47;37.87;70.87;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;21;2;1;2010;95.40;37.93;71.07;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;22;2;1;2010;95.30;37.43;71.03;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;23;2;1;2010;95.00;33.75;73.80;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;0;3;1;2010;95.40;36.90;70.90;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;1;3;1;2010;94.60;41.80;64.00;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;2;3;1;2010;92.20;40.43;62.73;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;3;3;1;2010;91.50;41.35;61.35;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;4;3;1;2010;92.07;41.07;60.80;1.0;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;5;3;1;2010;92.60;41.10;62.60;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;6;3;1;2010;92.70;40.30;65.90;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;7;3;1;2010;93.40;38.60;67.33;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;8;3;1;2010;94.17;37.13;68.37;1.0;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;9;3;1;2010;92.85;35.90;67.80;1.0;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;10;3;1;2010;93.10;34.50;72.40;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;11;3;1;2010;93.15;21.45;89.40;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;12;3;1;2010;96.20;37.80;72.20;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;13;3;1;2010;97.35;27.35;85.40;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;14;3;1;2010;98.20;35.95;78.50;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;15;3;1;2010;99.15;35.45;79.50;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;16;3;1;2010;103.20;40.40;78.70;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;17;3;1;2010;104.87;39.47;81.10;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;18;3;1;2010;106.30;39.20;80.70;1.0;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;19;3;1;2010;106.10;36.50;83.70;1.0;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;20;3;1;2010;105.40;22.60;100.95;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;21;3;1;2010;105.70;31.25;89.25;1.0;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;22;3;1;2010;105.35;28.15;93.10;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;23;3;1;2010;104.70;35.70;83.80;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;1;4;1;2010;105.60;43.10;75.70;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;2;4;1;2010;106.00;42.85;77.25;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;3;4;1;2010;106.60;43.80;79.80;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;4;4;1;2010;107.10;44.20;79.80;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;5;4;1;2010;107.95;41.05;85.40;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;6;4;1;2010;107.75;42.95;81.15;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;7;4;1;2010;105.50;36.50;87.85;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;8;4;1;2010;107.40;41.60;83.87;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;9;4;1;2010;106.90;32.50;92.20;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;10;4;1;2010;107.10;43.75;78.60;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;11;4;1;2010;99.40;41.30;72.10;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;12;4;1;2010;99.00;37.95;77.25;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;13;4;1;2010;99.90;37.70;76.60;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;14;4;1;2010;97.85;39.90;71.35;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;15;4;1;2010;97.00;39.67;69.57;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;16;4;1;2010;96.35;33.70;76.75;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;17;4;1;2010;94.70;35.30;72.17;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;18;4;1;2010;95.33;37.13;71.60;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;19;4;1;2010;98.43;31.23;82.73;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;20;4;1;2010;99.93;29.90;87.33;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;21;4;1;2010;99.90;38.10;75.70;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;22;4;1;2010;100.60;27.83;90.97;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;23;4;1;2010;100.50;30.60;89.05;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;0;5;1;2010;100.25;41.45;76.05;1.1;0.00;0.0
2550;WIELUŃSKA 8                             ;LG  ;1;5;1;2010;100.30;34.70;85.10;1.1;0.00;0.0
