lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;0;1;1;2010;95.05;44.45;161.48;2.8;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;1;1;1;2010;100.10;46.25;143.70;2.3;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;2;1;1;2010;98.96;45.06;140.80;2.3;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;3;1;1;2010;99.96;46.10;143.60;2.3;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;4;1;1;2010;100.21;47.83;142.70;2.4;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;5;1;1;2010;101.37;47.60;146.83;2.4;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;6;1;1;2010;99.93;48.31;153.20;2.6;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;7;1;1;2010;100.61;47.48;148.27;2.4;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;8;1;1;2010;99.25;47.49;159.40;2.7;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;9;1;1;2010;99.72;39.70;174.57;2.5;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;10;1;1;2010;98.54;42.87;167.35;2.6;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;11;1;1;2010;97.97;41.96;180.03;2.8;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;12;1;1;2010;97.54;41.91;166.10;2.6;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;13;1;1;2010;97.40;36.53;177.97;2.5;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;14;1;1;2010;94.01;41.34;162.90;2.6;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;15;1;1;2010;92.72;41.99;180.57;3.1;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;16;1;1;2010;92.66;42.96;169.70;3.0;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;17;1;1;2010;92.54;42.96;175.63;3.1;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;18;1;1;2010;92.84;45.17;160.35;2.9;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;19;1;1;2010;92.80;39.67;194.30;3.2;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;20;1;1;2010;93.77;41.21;174.35;2.9;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;21;1;1;2010;93.75;39.52;171.25;2.8;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;22;1;1;2010;93.64;40.11;171.45;2.8;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;23;1;1;2010;93.68;41.86;164.90;2.8;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;0;2;1;2010;93.77;44.63;155.78;2.7;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;1;2;1;2010;96.43;47.80;141.77;2.5;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;2;2;1;2010;98.17;48.13;145.20;2.6;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;3;2;1;2010;99.76;46.32;144.75;2.4;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;4;2;1;2010;98.23;47.44;141.43;2.4;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;5;2;1;2010;97.53;47.69;154.17;2.7;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;6;2;1;2010;97.39;47.00;131.87;2.3;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;7;2;1;2010;96.52;47.75;152.15;2.7;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;8;2;1;2010;97.06;43.41;165.47;2.7;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;9;2;1;2010;97.35;36.26;187.83;2.7;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;10;2;1;2010;96.65;36.35;193.95;2.7;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;11;2;1;2010;97.25;42.91;156.70;2.5;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;12;2;1;2010;96.38;41.42;165.85;2.6;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;13;2;1;2010;94.49;44.10;153.78;2.6;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;14;2;1;2010;93.51;37.22;182.17;2.8;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;15;2;1;2010;94.03;37.94;193.95;3.0;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;16;2;1;2010;94.18;41.21;172.60;2.7;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;17;2;1;2010;94.06;42.44;151.57;2.5;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;18;2;1;2010;93.73;40.16;177.27;2.9;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;19;2;1;2010;93.81;42.78;155.45;2.7;0.00;0.0
25705; WĄWOZOWA 8 w.II L-4241                 ;LG  ;20;2;1;2010;94.02;44.43;158.83;2.8;0.00;0.0
