lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
2572;Esperanto 18A                           ;LG  ;0;1;1;2010;97.25;51.62;143.20;2.7;194.20;2.9
2572;Esperanto 18A                           ;LG  ;1;1;1;2010;97.91;51.87;146.33;2.8;194.20;2.9
2572;Esperanto 18A                           ;LG  ;2;1;1;2010;99.00;53.70;142.33;2.7;194.20;2.9
2572;Esperanto 18A                           ;LG  ;3;1;1;2010;99.78;52.87;140.54;2.6;144.78;2.3
2572;Esperanto 18A                           ;LG  ;4;1;1;2010;100.67;53.09;140.20;2.6;141.60;2.7
2572;Esperanto 18A                           ;LG  ;5;1;1;2010;100.80;53.35;137.70;2.5;142.50;2.7
2572;Esperanto 18A                           ;LG  ;6;1;1;2010;100.98;54.05;138.50;2.6;142.50;2.7
2572;Esperanto 18A                           ;LG  ;7;1;1;2010;100.85;54.29;138.70;2.6;142.50;2.7
2572;Esperanto 18A                           ;LG  ;8;1;1;2010;101.28;49.89;151.90;2.6;142.70;2.7
2572;Esperanto 18A                           ;LG  ;9;1;1;2010;101.03;51.05;147.90;2.5;147.80;2.7
2572;Esperanto 18A                           ;LG  ;10;1;1;2010;100.12;48.76;139.38;2.4;147.80;2.7
2572;Esperanto 18A                           ;LG  ;11;1;1;2010;99.05;47.69;127.77;2.2;147.80;2.7
2572;Esperanto 18A                           ;LG  ;12;1;1;2010;97.22;44.55;157.53;2.5;147.80;2.7
2572;Esperanto 18A                           ;LG  ;13;1;1;2010;94.29;43.69;158.87;2.7;155.00;2.7
2572;Esperanto 18A                           ;LG  ;14;1;1;2010;93.13;44.94;150.05;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;15;1;1;2010;91.04;47.76;130.48;2.6;162.40;2.7
2572;Esperanto 18A                           ;LG  ;16;1;1;2010;91.17;47.11;138.73;2.6;162.40;2.7
2572;Esperanto 18A                           ;LG  ;17;1;1;2010;90.61;43.54;144.77;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;18;1;1;2010;91.82;48.58;133.90;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;19;1;1;2010;93.40;49.16;138.90;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;20;1;1;2010;93.70;49.45;138.27;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;21;1;1;2010;92.90;48.95;139.20;2.8;162.40;2.7
2572;Esperanto 18A                           ;LG  ;22;1;1;2010;94.60;50.07;139.70;2.8;162.40;2.7
2572;Esperanto 18A                           ;LG  ;23;1;1;2010;93.92;50.05;133.40;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;0;2;1;2010;93.56;46.07;147.83;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;1;2;1;2010;94.89;52.53;132.28;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;2;2;1;2010;95.81;52.14;134.40;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;3;2;1;2010;97.28;53.74;137.30;2.8;162.40;2.7
2572;Esperanto 18A                           ;LG  ;4;2;1;2010;97.83;54.11;137.87;2.8;162.40;2.7
2572;Esperanto 18A                           ;LG  ;5;2;1;2010;96.81;53.99;134.33;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;6;2;1;2010;97.22;52.31;138.85;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;7;2;1;2010;97.76;52.81;139.17;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;8;2;1;2010;97.67;50.10;146.37;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;9;2;1;2010;96.84;45.97;155.57;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;10;2;1;2010;95.67;46.58;149.00;2.6;162.40;2.7
2572;Esperanto 18A                           ;LG  ;11;2;1;2010;94.80;45.82;148.98;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;12;2;1;2010;93.65;43.32;154.64;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;13;2;1;2010;92.69;46.98;140.20;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;14;2;1;2010;93.34;48.69;136.43;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;15;2;1;2010;94.70;49.64;137.50;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;16;2;1;2010;92.77;47.12;141.90;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;17;2;1;2010;95.10;47.51;147.57;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;18;2;1;2010;97.37;50.42;145.17;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;19;2;1;2010;97.89;46.66;154.85;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;20;2;1;2010;98.61;46.92;160.73;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;21;2;1;2010;98.12;49.53;150.38;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;22;2;1;2010;97.55;51.07;143.63;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;23;2;1;2010;97.60;48.82;148.78;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;0;3;1;2010;96.63;52.38;134.05;2.6;162.40;2.7
2572;Esperanto 18A                           ;LG  ;1;3;1;2010;96.26;52.76;131.70;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;2;3;1;2010;94.38;52.73;124.97;2.6;162.40;2.7
2572;Esperanto 18A                           ;LG  ;3;3;1;2010;94.17;50.84;130.05;2.6;162.40;2.7
2572;Esperanto 18A                           ;LG  ;4;3;1;2010;94.54;51.54;128.50;2.6;162.40;2.7
2572;Esperanto 18A                           ;LG  ;6;3;1;2010;95.85;52.66;132.90;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;7;3;1;2010;96.92;52.02;135.70;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;8;3;1;2010;96.16;45.36;152.03;2.6;162.40;2.7
2572;Esperanto 18A                           ;LG  ;9;3;1;2010;93.94;48.29;135.50;2.6;162.40;2.7
2572;Esperanto 18A                           ;LG  ;10;3;1;2010;94.07;42.28;158.67;2.6;162.40;2.7
2572;Esperanto 18A                           ;LG  ;11;3;1;2010;93.38;48.84;137.23;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;12;3;1;2010;94.65;46.62;150.25;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;13;3;1;2010;100.42;50.10;155.95;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;14;3;1;2010;101.09;52.27;151.97;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;15;3;1;2010;103.77;49.18;171.10;2.7;162.40;2.7
2572;Esperanto 18A                           ;LG  ;16;3;1;2010;107.66;46.23;193.87;2.7;167.90;2.7
2572;Esperanto 18A                           ;LG  ;17;3;1;2010;107.89;53.30;167.77;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;18;3;1;2010;107.28;54.98;160.13;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;19;3;1;2010;106.65;43.25;194.05;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;20;3;1;2010;107.12;47.49;183.78;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;21;3;1;2010;107.60;54.01;163.30;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;22;3;1;2010;107.78;50.90;174.20;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;23;3;1;2010;108.00;54.75;163.95;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;0;4;1;2010;108.71;56.50;162.80;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;1;4;1;2010;108.99;55.99;163.60;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;2;4;1;2010;108.03;55.85;160.07;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;3;4;1;2010;108.48;56.46;163.03;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;4;4;1;2010;110.03;57.60;164.80;2.8;185.30;2.7
2572;Esperanto 18A                           ;LG  ;5;4;1;2010;109.25;56.29;165.70;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;6;4;1;2010;109.10;53.87;169.30;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;7;4;1;2010;108.41;54.23;165.98;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;8;4;1;2010;107.95;51.17;175.85;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;9;4;1;2010;107.11;53.97;165.50;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;10;4;1;2010;105.31;45.93;172.77;2.5;185.30;2.7
2572;Esperanto 18A                           ;LG  ;11;4;1;2010;105.46;51.09;167.67;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;12;4;1;2010;103.44;47.07;177.90;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;13;4;1;2010;101.60;53.52;147.30;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;14;4;1;2010;99.13;52.04;142.97;2.7;185.30;2.7
2572;Esperanto 18A                           ;LG  ;15;4;1;2010;97.34;50.30;137.50;2.5;185.30;2.7
