lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;0;1;1;2010;96.19;45.10;224.92;3.9;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;1;1;1;2010;99.89;47.02;220.23;3.6;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;2;1;1;2010;101.40;46.33;231.60;3.6;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;3;1;1;2010;100.55;46.50;228.63;3.6;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;4;1;1;2010;102.12;48.74;217.75;3.6;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;5;1;1;2010;102.42;49.31;220.23;3.6;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;6;1;1;2010;100.94;48.82;214.30;3.6;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;7;1;1;2010;100.87;48.75;220.70;3.7;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;8;1;1;2010;99.90;48.79;217.83;3.7;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;9;1;1;2010;100.05;47.48;217.30;3.5;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;10;1;1;2010;99.39;44.12;225.20;3.6;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;11;1;1;2010;98.72;36.99;253.60;3.6;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;12;1;1;2010;98.47;40.61;236.40;3.6;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;13;1;1;2010;97.69;43.14;225.60;3.7;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;14;1;1;2010;94.14;44.80;222.00;3.9;0.00;0.0
26486; WĄWOZOWA 6 w.I  L-4194                 ;LG  ;15;1;1;2010;93.42;42.49;232.10;4.0;0.00;0.0
