lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
26599;Al. Stanów Zjednoczonych 46             ;CO  ;0;1;1;2010;91.20;48.86;116.63;2.4;159.50;2.8
26599;Al. Stanów Zjednoczonych 46             ;CO  ;1;1;1;2010;91.89;48.94;116.30;2.4;159.50;2.8
26599;Al. Stanów Zjednoczonych 46             ;CO  ;2;1;1;2010;92.73;48.96;118.80;2.4;159.50;2.8
26599;Al. Stanów Zjednoczonych 46             ;CO  ;3;1;1;2010;93.50;48.98;120.85;2.4;159.50;2.8
26599;Al. Stanów Zjednoczonych 46             ;CO  ;4;1;1;2010;94.56;49.12;117.60;2.2;53.17;0.9
26599;Al. Stanów Zjednoczonych 46             ;CO  ;5;1;1;2010;94.98;49.07;118.60;2.3;117.70;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;6;1;1;2010;95.51;49.06;120.10;2.2;119.00;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;7;1;1;2010;96.27;49.06;119.70;2.2;119.60;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;8;1;1;2010;96.60;48.99;119.90;2.2;119.80;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;9;1;1;2010;97.12;48.76;116.30;2.1;119.80;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;10;1;1;2010;97.29;48.49;114.87;2.0;119.80;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;11;1;1;2010;97.49;48.27;113.05;2.0;119.80;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;12;1;1;2010;97.70;48.25;118.00;2.1;119.80;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;13;1;1;2010;97.14;48.18;114.85;2.1;119.80;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;14;1;1;2010;96.52;48.45;118.70;2.1;119.80;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;15;1;1;2010;96.58;48.75;117.40;2.1;119.80;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;16;1;1;2010;92.89;48.84;116.05;2.3;119.80;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;17;1;1;2010;90.29;48.80;113.05;2.4;119.80;2.3
26599;Al. Stanów Zjednoczonych 46             ;CO  ;18;1;1;2010;88.51;48.19;107.45;2.4;119.80;2.4
26599;Al. Stanów Zjednoczonych 46             ;CO  ;19;1;1;2010;88.15;47.65;109.65;2.4;119.80;2.4
26599;Al. Stanów Zjednoczonych 46             ;CO  ;20;1;1;2010;87.97;47.54;108.50;2.3;119.80;2.4
26599;Al. Stanów Zjednoczonych 46             ;CO  ;21;1;1;2010;86.77;47.48;107.40;2.4;119.80;2.4
26599;Al. Stanów Zjednoczonych 46             ;CO  ;22;1;1;2010;89.76;47.99;114.20;2.4;119.80;2.4
26599;Al. Stanów Zjednoczonych 46             ;CO  ;23;1;1;2010;89.99;48.18;113.95;2.4;119.80;2.4
26599;Al. Stanów Zjednoczonych 46             ;CO  ;0;2;1;2010;90.08;48.32;114.90;2.4;119.80;2.4
26599;Al. Stanów Zjednoczonych 46             ;CO  ;1;2;1;2010;90.40;48.55;116.98;2.4;119.80;2.4
26599;Al. Stanów Zjednoczonych 46             ;CO  ;2;2;1;2010;90.17;48.79;117.40;2.5;119.80;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;3;2;1;2010;89.32;48.86;115.20;2.5;119.80;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;4;2;1;2010;90.12;48.82;117.40;2.5;119.80;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;5;2;1;2010;90.24;48.87;116.70;2.4;119.80;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;6;2;1;2010;91.25;48.93;120.60;2.5;119.80;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;7;2;1;2010;92.51;49.25;122.50;2.5;120.15;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;8;2;1;2010;93.59;49.44;120.40;2.4;121.90;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;9;2;1;2010;93.33;48.75;117.40;2.3;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;10;2;1;2010;93.89;48.70;120.00;2.3;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;11;2;1;2010;93.85;48.58;116.60;2.3;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;12;2;1;2010;93.32;48.65;118.35;2.3;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;13;2;1;2010;92.98;48.62;120.25;2.4;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;14;2;1;2010;91.98;48.70;120.17;2.4;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;15;2;1;2010;93.07;48.90;117.10;2.3;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;16;2;1;2010;89.87;48.87;116.60;2.5;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;17;2;1;2010;86.62;48.55;108.35;2.5;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;18;2;1;2010;56.83;43.43;33.87;1.8;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;19;2;1;2010;58.97;35.64;52.50;2.0;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;20;2;1;2010;75.59;37.48;102.15;2.4;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;21;2;1;2010;86.93;43.15;124.08;2.5;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;22;2;1;2010;85.55;45.96;114.97;2.5;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;23;2;1;2010;87.42;46.79;117.60;2.5;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;0;3;1;2010;91.14;47.74;125.45;2.5;122.60;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;1;3;1;2010;91.99;48.87;124.73;2.5;127.00;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;2;3;1;2010;90.91;48.97;122.65;2.5;127.00;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;3;3;1;2010;88.71;48.67;117.23;2.5;127.00;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;4;3;1;2010;91.75;48.45;126.30;2.5;127.00;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;5;3;1;2010;93.96;49.31;129.53;2.5;127.00;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;6;3;1;2010;93.10;49.59;127.60;2.5;129.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;7;3;1;2010;90.90;49.12;121.80;2.5;129.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;8;3;1;2010;91.44;48.55;121.15;2.5;129.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;9;3;1;2010;92.02;48.50;123.73;2.5;129.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;10;3;1;2010;92.11;48.59;124.00;2.5;129.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;11;3;1;2010;91.67;48.50;124.05;2.5;129.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;12;3;1;2010;91.38;48.49;124.35;2.5;129.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;13;3;1;2010;91.38;47.45;120.80;2.4;129.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;14;3;1;2010;94.14;48.37;131.30;2.5;129.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;15;3;1;2010;95.16;49.30;133.70;2.5;132.80;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;16;3;1;2010;98.39;49.93;138.90;2.5;132.80;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;17;3;1;2010;101.01;50.65;144.30;2.5;137.90;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;18;3;1;2010;101.43;51.32;144.00;2.5;143.00;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;19;3;1;2010;102.13;51.59;144.60;2.5;144.70;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;20;3;1;2010;102.94;51.66;144.13;2.4;144.70;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;21;3;1;2010;103.35;51.99;146.45;2.5;146.10;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;22;3;1;2010;103.16;52.08;146.10;2.5;146.10;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;23;3;1;2010;102.34;52.10;144.35;2.5;146.10;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;2;4;1;2010;102.72;52.19;146.00;2.5;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;4;4;1;2010;101.66;51.71;145.60;2.5;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;5;4;1;2010;102.59;52.12;147.45;2.6;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;6;4;1;2010;102.74;52.25;147.10;2.5;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;8;4;1;2010;104.40;51.42;136.93;2.2;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;9;4;1;2010;104.53;50.61;133.65;2.2;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;10;4;1;2010;103.43;49.76;124.60;2.0;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;11;4;1;2010;105.38;49.08;125.05;2.0;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;12;4;1;2010;102.19;48.82;128.30;2.1;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;13;4;1;2010;101.48;49.24;134.25;2.2;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;14;4;1;2010;100.69;49.46;132.05;2.3;147.20;2.5
26599;Al. Stanów Zjednoczonych 46             ;CO  ;15;4;1;2010;97.20;50.22;136.30;2.5;147.20;2.5
