lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
26625;Międzyborska 43a                        ;CO  ;0;1;1;2010;92.70;49.34;126.75;2.6;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;1;1;1;2010;93.70;49.42;126.55;2.5;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;2;1;1;2010;94.43;49.54;128.65;2.5;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;3;1;1;2010;95.98;49.57;127.30;2.4;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;4;1;1;2010;96.78;49.76;128.55;2.4;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;5;1;1;2010;97.12;49.78;128.67;2.4;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;6;1;1;2010;97.85;49.78;127.40;2.3;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;7;1;1;2010;98.38;49.85;129.90;2.3;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;8;1;1;2010;98.69;49.72;128.80;2.3;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;9;1;1;2010;99.25;49.54;126.00;2.2;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;10;1;1;2010;99.44;49.39;126.90;2.2;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;11;1;1;2010;99.45;49.15;124.47;2.2;166.40;2.8
26625;Międzyborska 43a                        ;CO  ;12;1;1;2010;99.50;49.13;130.35;2.3;0.00;0.0
26625;Międzyborska 43a                        ;CO  ;13;1;1;2010;98.23;49.24;126.10;2.2;128.60;2.2
26625;Międzyborska 43a                        ;CO  ;14;1;1;2010;98.25;49.10;129.10;2.3;128.60;2.3
26625;Międzyborska 43a                        ;CO  ;15;1;1;2010;93.98;49.22;123.55;2.4;128.60;2.3
26625;Międzyborska 43a                        ;CO  ;16;1;1;2010;92.30;49.01;119.10;2.4;128.60;2.4
26625;Międzyborska 43a                        ;CO  ;17;1;1;2010;89.80;48.09;115.05;2.4;128.60;2.4
26625;Międzyborska 43a                        ;CO  ;18;1;1;2010;89.66;47.70;117.80;2.4;128.60;2.4
26625;Międzyborska 43a                        ;CO  ;19;1;1;2010;89.09;47.64;118.10;2.5;128.60;2.4
26625;Międzyborska 43a                        ;CO  ;20;1;1;2010;88.22;47.87;119.00;2.6;128.60;2.5
26625;Międzyborska 43a                        ;CO  ;21;1;1;2010;91.53;48.95;128.40;2.6;128.60;2.6
26625;Międzyborska 43a                        ;CO  ;22;1;1;2010;91.40;49.23;124.30;2.6;129.40;2.7
26625;Międzyborska 43a                        ;CO  ;23;1;1;2010;91.03;49.20;123.77;2.6;129.40;2.7
26625;Międzyborska 43a                        ;CO  ;0;2;1;2010;91.80;49.50;129.57;2.7;129.40;2.7
26625;Międzyborska 43a                        ;CO  ;1;2;1;2010;91.97;50.19;133.57;2.8;129.40;2.7
26625;Międzyborska 43a                        ;CO  ;2;2;1;2010;90.85;49.58;125.73;2.7;134.30;2.8
26625;Międzyborska 43a                        ;CO  ;4;2;1;2010;91.82;49.78;127.05;2.7;134.30;2.8
26625;Międzyborska 43a                        ;CO  ;5;2;1;2010;92.32;49.79;128.17;2.6;134.30;2.8
26625;Międzyborska 43a                        ;CO  ;6;2;1;2010;94.11;49.80;128.40;2.5;134.30;2.8
26625;Międzyborska 43a                        ;CO  ;7;2;1;2010;95.38;49.79;127.60;2.4;134.30;2.8
26625;Międzyborska 43a                        ;CO  ;8;2;1;2010;94.89;49.77;128.15;2.5;134.30;2.8
26625;Międzyborska 43a                        ;CO  ;9;2;1;2010;95.54;49.76;131.60;2.5;134.30;2.8
26625;Międzyborska 43a                        ;CO  ;10;2;1;2010;95.54;49.70;127.07;2.4;134.30;2.8
