lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
26638;Ostrobramska 134                        ;CO  ;0;1;1;2010;93.58;50.62;88.47;1.8;109.10;1.9
26638;Ostrobramska 134                        ;CO  ;1;1;1;2010;94.68;51.27;91.53;1.8;109.10;1.9
26638;Ostrobramska 134                        ;CO  ;2;1;1;2010;95.55;51.02;89.73;1.8;109.10;1.9
26638;Ostrobramska 134                        ;CO  ;3;1;1;2010;96.70;51.12;93.90;1.8;109.10;1.9
26638;Ostrobramska 134                        ;CO  ;4;1;1;2010;97.33;51.19;90.50;1.7;91.60;1.7
26638;Ostrobramska 134                        ;CO  ;5;1;1;2010;97.60;51.41;90.93;1.7;91.73;1.7
26638;Ostrobramska 134                        ;CO  ;6;1;1;2010;98.44;51.44;93.17;1.7;92.17;1.7
26638;Ostrobramska 134                        ;CO  ;7;1;1;2010;98.92;51.41;91.13;1.7;92.50;1.7
26638;Ostrobramska 134                        ;CO  ;8;1;1;2010;99.34;51.19;92.63;1.7;92.80;1.7
26638;Ostrobramska 134                        ;CO  ;9;1;1;2010;99.89;50.96;90.38;1.6;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;10;1;1;2010;100.12;50.62;87.20;1.5;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;11;1;1;2010;100.17;50.13;84.67;1.5;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;12;1;1;2010;99.76;49.70;76.40;1.3;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;13;1;1;2010;98.91;49.47;88.35;1.6;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;14;1;1;2010;98.54;50.05;85.10;1.6;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;15;1;1;2010;94.57;48.27;80.63;1.5;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;16;1;1;2010;92.47;47.63;76.37;1.5;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;17;1;1;2010;90.34;47.01;69.20;1.4;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;18;1;1;2010;89.95;46.41;72.30;1.5;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;19;1;1;2010;89.40;46.73;76.15;1.6;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;20;1;1;2010;88.31;46.91;75.60;1.6;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;21;1;1;2010;91.65;47.44;85.65;1.7;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;22;1;1;2010;92.00;48.01;81.60;1.6;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;23;1;1;2010;91.47;47.92;83.55;1.7;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;0;2;1;2010;92.28;48.46;84.58;1.7;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;1;2;1;2010;92.16;49.18;88.80;1.8;93.40;1.7
26638;Ostrobramska 134                        ;CO  ;2;2;1;2010;91.81;49.55;90.50;1.9;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;3;2;1;2010;91.92;49.69;85.75;1.8;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;4;2;1;2010;92.20;49.87;87.13;1.8;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;5;2;1;2010;93.51;50.00;94.30;1.9;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;6;2;1;2010;94.79;50.46;91.65;1.8;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;7;2;1;2010;95.85;50.61;91.77;1.8;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;8;2;1;2010;95.49;50.36;91.07;1.7;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;9;2;1;2010;96.04;50.07;83.77;1.6;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;10;2;1;2010;96.04;49.95;85.25;1.6;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;11;2;1;2010;95.52;49.66;73.47;1.4;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;12;2;1;2010;95.08;49.06;96.20;1.8;93.40;1.8
26638;Ostrobramska 134                        ;CO  ;13;2;1;2010;92.88;49.77;84.07;1.7;93.87;1.8
26638;Ostrobramska 134                        ;CO  ;14;2;1;2010;95.04;50.07;90.25;1.7;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;15;2;1;2010;94.37;49.85;82.93;1.6;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;16;2;1;2010;89.80;49.26;81.35;1.8;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;17;2;1;2010;85.09;48.28;72.60;1.7;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;18;2;1;2010;49.97;38.25;10.08;0.8;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;19;2;1;2010;68.12;34.98;52.90;1.4;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;20;2;1;2010;90.95;43.78;100.15;1.9;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;21;2;1;2010;88.20;46.79;78.67;1.6;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;22;2;1;2010;87.87;46.94;90.45;1.9;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;23;2;1;2010;93.52;48.36;87.20;1.7;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;0;3;1;2010;95.14;49.93;95.00;1.8;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;1;3;1;2010;93.40;50.13;88.90;1.8;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;2;3;1;2010;90.41;49.18;83.73;1.8;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;3;3;1;2010;92.26;49.01;91.33;1.8;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;4;3;1;2010;97.29;50.39;97.17;1.8;94.10;1.8
26638;Ostrobramska 134                        ;CO  ;5;3;1;2010;95.64;50.49;96.15;1.9;94.55;1.8
26638;Ostrobramska 134                        ;CO  ;6;3;1;2010;93.44;50.22;90.35;1.8;95.00;1.8
26638;Ostrobramska 134                        ;CO  ;7;3;1;2010;92.93;49.50;86.20;1.7;95.00;1.8
26638;Ostrobramska 134                        ;CO  ;8;3;1;2010;93.98;49.47;88.27;1.7;95.00;1.8
26638;Ostrobramska 134                        ;CO  ;9;3;1;2010;93.88;48.71;76.05;1.5;95.00;1.8
26638;Ostrobramska 134                        ;CO  ;10;3;1;2010;93.52;48.33;88.68;1.7;95.00;1.8
26638;Ostrobramska 134                        ;CO  ;11;3;1;2010;93.29;48.80;93.27;1.8;95.00;1.8
26638;Ostrobramska 134                        ;CO  ;12;3;1;2010;88.79;48.67;73.65;1.6;95.00;1.8
26638;Ostrobramska 134                        ;CO  ;13;3;1;2010;95.77;49.27;90.60;1.7;95.00;1.8
26638;Ostrobramska 134                        ;CO  ;14;3;1;2010;97.39;50.67;101.07;1.9;98.00;1.8
26638;Ostrobramska 134                        ;CO  ;15;3;1;2010;97.98;51.35;100.97;1.9;99.57;1.9
26638;Ostrobramska 134                        ;CO  ;16;3;1;2010;102.36;52.19;108.60;1.9;101.23;1.9
26638;Ostrobramska 134                        ;CO  ;17;3;1;2010;104.27;53.57;110.45;1.9;107.80;1.9
26638;Ostrobramska 134                        ;CO  ;18;3;1;2010;104.62;53.55;106.30;1.8;111.10;1.9
26638;Ostrobramska 134                        ;CO  ;19;3;1;2010;105.49;53.89;108.78;1.8;111.10;1.9
26638;Ostrobramska 134                        ;CO  ;20;3;1;2010;105.98;54.00;111.37;1.9;111.10;1.9
26638;Ostrobramska 134                        ;CO  ;21;3;1;2010;106.33;54.27;107.80;1.8;111.10;1.9
26638;Ostrobramska 134                        ;CO  ;22;3;1;2010;105.01;53.60;104.65;1.8;111.10;1.9
26638;Ostrobramska 134                        ;CO  ;23;3;1;2010;104.62;53.67;106.17;1.8;111.10;1.9
26638;Ostrobramska 134                        ;CO  ;1;4;1;2010;105.08;54.17;108.88;1.9;111.10;1.9
26638;Ostrobramska 134                        ;CO  ;2;4;1;2010;105.06;53.84;106.95;1.8;111.10;1.9
26638;Ostrobramska 134                        ;CO  ;3;4;1;2010;104.22;53.50;109.85;1.9;111.10;1.9
26638;Ostrobramska 134                        ;CO  ;4;4;1;2010;104.72;54.28;110.20;1.9;111.17;1.9
26638;Ostrobramska 134                        ;CO  ;5;4;1;2010;104.89;54.58;110.60;1.9;111.20;1.9
26638;Ostrobramska 134                        ;CO  ;6;4;1;2010;105.20;54.18;107.75;1.8;111.20;1.9
26638;Ostrobramska 134                        ;CO  ;7;4;1;2010;107.09;54.29;113.95;1.9;111.20;1.9
26638;Ostrobramska 134                        ;CO  ;8;4;1;2010;107.96;54.96;114.40;1.9;112.40;1.9
26638;Ostrobramska 134                        ;CO  ;9;4;1;2010;104.75;53.91;102.35;1.8;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;10;4;1;2010;110.84;53.41;106.00;1.6;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;11;4;1;2010;105.37;52.11;96.13;1.6;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;12;4;1;2010;103.70;51.46;92.05;1.6;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;13;4;1;2010;103.09;51.42;100.95;1.7;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;14;4;1;2010;99.71;51.39;93.10;1.7;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;15;4;1;2010;98.52;49.83;88.10;1.6;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;16;4;1;2010;97.65;49.33;85.57;1.5;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;17;4;1;2010;96.52;49.04;86.95;1.6;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;18;4;1;2010;97.18;48.59;85.50;1.5;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;19;4;1;2010;97.60;48.68;90.73;1.6;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;20;4;1;2010;100.44;48.90;97.17;1.6;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;21;4;1;2010;101.06;49.58;84.80;1.5;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;22;4;1;2010;100.85;49.06;75.83;1.3;114.80;1.9
26638;Ostrobramska 134                        ;CO  ;23;4;1;2010;100.97;49.79;94.95;1.7;114.80;1.9
