lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
2677;CZUMY W 4 (2)                           ;LG  ;0;1;1;2010;95.05;49.65;208.50;4.0;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;1;1;1;2010;96.13;45.47;217.67;3.7;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;2;1;1;2010;98.40;48.70;223.00;3.9;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;3;1;1;2010;99.33;49.53;236.67;4.1;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;4;1;1;2010;99.23;49.47;213.67;3.7;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;5;1;1;2010;100.30;51.75;215.00;3.9;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;6;1;1;2010;100.80;51.55;209.00;3.7;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;7;1;1;2010;100.65;50.40;222.00;3.9;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;8;1;1;2010;100.90;44.10;245.00;3.8;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;9;1;1;2010;100.80;45.45;222.50;3.5;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;10;1;1;2010;100.75;44.75;235.50;3.7;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;11;1;1;2010;101.33;37.73;252.00;3.4;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;12;1;1;2010;100.60;41.53;242.67;3.6;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;13;1;1;2010;98.20;45.40;222.50;3.7;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;14;1;1;2010;96.30;44.80;228.00;3.9;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;15;1;1;2010;94.10;48.10;219.00;4.2;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;16;1;1;2010;92.47;46.27;231.67;4.4;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;17;1;1;2010;90.73;46.57;241.33;4.8;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;18;1;1;2010;88.63;47.67;228.00;4.8;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;19;1;1;2010;88.15;44.50;246.00;4.9;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;20;1;1;2010;91.90;38.97;280.67;4.6;0.00;0.0
2677;CZUMY W 4 (2)                           ;LG  ;21;1;1;2010;92.70;38.25;287.00;4.6;0.00;0.0
