lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
2678;CZUMY W 4A (1)                          ;LG  ;0;1;1;2010;93.88;46.85;257.50;4.8;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;1;1;1;2010;95.73;48.67;257.60;4.8;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;2;1;1;2010;97.92;47.90;253.95;4.4;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;3;1;1;2010;98.86;49.66;248.70;4.4;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;4;1;1;2010;98.80;49.63;262.80;4.6;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;5;1;1;2010;99.31;50.27;248.85;4.4;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;6;1;1;2010;99.95;50.39;250.50;4.4;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;7;1;1;2010;99.90;48.38;269.30;4.5;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;8;1;1;2010;100.12;48.35;262.85;4.4;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;9;1;1;2010;100.06;44.99;292.70;4.6;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;10;1;1;2010;99.98;41.61;283.27;4.2;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;11;1;1;2010;100.42;39.84;288.83;4.1;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;12;1;1;2010;99.84;43.90;286.63;4.4;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;13;1;1;2010;98.17;44.50;276.25;4.5;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;14;1;1;2010;95.73;35.94;323.50;4.7;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;15;1;1;2010;94.32;44.12;270.93;4.7;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;16;1;1;2010;92.45;40.80;276.95;4.6;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;17;1;1;2010;90.28;42.87;257.07;4.7;415.40;4.8
2678;CZUMY W 4A (1)                          ;LG  ;18;1;1;2010;87.45;44.01;256.70;4.8;415.40;4.8
