lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;0;1;1;2010;92.60;52.19;214.55;4.7;284.10;5.1
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;1;1;1;2010;93.34;52.30;211.65;4.5;284.10;5.1
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;2;1;1;2010;94.18;52.16;214.50;4.5;142.05;2.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;3;1;1;2010;96.09;52.65;212.10;4.3;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;4;1;1;2010;97.47;52.58;212.30;4.1;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;5;1;1;2010;97.39;52.52;213.27;4.2;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;6;1;1;2010;98.03;52.37;212.90;4.1;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;7;1;1;2010;98.57;52.34;214.40;4.1;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;8;1;1;2010;98.73;52.16;214.60;4.0;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;9;1;1;2010;98.53;51.97;210.67;3.9;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;10;1;1;2010;98.76;50.97;193.20;3.5;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;11;1;1;2010;98.58;49.69;193.05;3.4;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;12;1;1;2010;98.77;50.33;216.75;3.9;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;13;1;1;2010;99.28;50.44;203.60;3.6;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;14;1;1;2010;98.09;50.40;206.73;3.8;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;15;1;1;2010;94.92;51.78;217.80;4.4;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;16;1;1;2010;94.80;51.99;199.50;4.1;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;17;1;1;2010;92.21;52.20;208.50;4.5;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;18;1;1;2010;89.27;51.40;195.60;4.5;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;19;1;1;2010;87.83;50.75;193.30;4.5;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;20;1;1;2010;87.50;50.09;190.90;4.5;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;21;1;1;2010;92.40;51.08;220.10;4.6;215.00;4.5
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;22;1;1;2010;92.10;52.22;209.45;4.6;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;23;1;1;2010;92.37;52.31;212.73;4.6;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;0;2;1;2010;92.97;52.26;203.00;4.4;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;1;2;1;2010;93.19;51.60;201.90;4.2;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;2;2;1;2010;92.21;51.85;203.23;4.4;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;3;2;1;2010;92.94;52.07;209.50;4.5;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;4;2;1;2010;92.99;51.88;202.35;4.3;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;5;2;1;2010;94.57;52.13;213.00;4.4;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;6;2;1;2010;95.25;52.09;211.30;4.3;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;7;2;1;2010;95.92;51.93;209.93;4.2;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;8;2;1;2010;94.80;51.96;208.40;4.2;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;9;2;1;2010;96.03;51.70;207.85;4.1;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;10;2;1;2010;95.73;51.31;205.05;4.0;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;11;2;1;2010;95.95;51.20;214.30;4.2;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;12;2;1;2010;95.88;50.85;203.83;3.9;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;13;2;1;2010;95.49;51.34;215.70;4.3;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;14;2;1;2010;93.43;51.74;209.25;4.4;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;15;2;1;2010;93.96;51.79;214.60;4.5;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;16;2;1;2010;91.90;51.81;207.80;4.5;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;17;2;1;2010;92.98;52.10;214.95;4.6;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;18;2;1;2010;93.04;52.14;213.75;4.6;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;19;2;1;2010;93.65;52.58;216.35;4.6;215.00;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;20;2;1;2010;93.56;52.73;219.40;4.7;215.70;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;21;2;1;2010;94.02;52.67;220.53;4.6;215.70;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;22;2;1;2010;94.67;52.81;216.35;4.5;218.70;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;23;2;1;2010;96.06;53.37;226.77;4.6;218.70;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;0;3;1;2010;95.92;53.97;223.20;4.6;225.60;4.6
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;1;3;1;2010;95.78;53.98;224.70;4.7;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;2;3;1;2010;94.64;53.99;215.10;4.6;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;3;3;1;2010;94.47;53.54;217.70;4.6;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;4;3;1;2010;92.97;53.16;211.75;4.7;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;5;3;1;2010;91.90;52.50;208.53;4.6;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;6;3;1;2010;92.61;52.37;212.90;4.6;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;7;3;1;2010;93.43;52.25;214.10;4.6;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;8;3;1;2010;93.64;52.15;216.55;4.6;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;9;3;1;2010;94.29;51.71;217.30;4.5;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;10;3;1;2010;94.92;51.62;214.90;4.3;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;11;3;1;2010;93.43;51.21;212.13;4.4;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;12;3;1;2010;93.32;51.49;215.20;4.5;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;13;3;1;2010;94.13;51.49;221.57;4.5;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;14;3;1;2010;96.18;52.50;230.70;4.6;225.60;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;15;3;1;2010;97.91;53.52;238.60;4.7;229.40;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;16;3;1;2010;98.58;53.89;239.00;4.7;235.40;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;17;3;1;2010;98.62;54.11;233.15;4.6;235.50;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;18;3;1;2010;104.03;54.51;234.65;4.1;235.50;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;19;3;1;2010;104.63;55.79;257.20;4.6;251.50;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;20;3;1;2010;105.75;56.54;255.80;4.6;256.20;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;21;3;1;2010;106.57;56.97;260.10;4.6;257.70;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;22;3;1;2010;105.84;57.05;255.50;4.6;258.00;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;23;3;1;2010;106.05;57.47;256.40;4.6;258.00;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;1;4;1;2010;105.59;57.52;253.00;4.6;258.10;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;3;4;1;2010;106.96;57.25;263.00;4.6;258.10;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;4;4;1;2010;105.95;57.50;260.30;4.7;261.10;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;6;4;1;2010;106.94;57.91;259.40;4.6;261.10;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;7;4;1;2010;108.22;58.04;258.60;4.5;261.10;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;8;4;1;2010;108.14;56.71;245.40;4.2;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;9;4;1;2010;105.06;54.78;230.05;4.0;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;11;4;1;2010;107.19;52.75;230.00;3.7;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;12;4;1;2010;105.92;53.21;233.45;3.8;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;13;4;1;2010;98.38;53.19;225.80;4.4;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;14;4;1;2010;100.16;53.80;243.50;4.6;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;16;4;1;2010;97.71;54.11;233.20;4.7;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;17;4;1;2010;97.35;53.82;231.05;4.7;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;18;4;1;2010;96.16;53.00;221.30;4.5;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;19;4;1;2010;94.39;52.21;219.70;4.5;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;20;4;1;2010;98.16;52.34;238.90;4.6;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;21;4;1;2010;99.72;53.33;238.30;4.5;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;23;4;1;2010;101.20;55.00;245.80;4.7;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;0;5;1;2010;101.35;55.56;242.27;4.6;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;1;5;1;2010;100.99;55.81;239.00;4.6;265.90;4.7
26821;KWITNĄCA 9A bl.401 c.o.                 ;CO  ;2;5;1;2010;100.63;55.69;237.20;4.6;265.90;4.7
