lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
12033;NAMYSŁOWSKA 13                          ;LG  ;0;1;1;2010;97.53;49.10;82.53;1.5;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;1;1;1;2010;97.93;49.37;82.03;1.5;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;2;1;1;2010;98.73;43.07;103.40;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;3;1;1;2010;99.40;45.85;95.65;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;4;1;1;2010;99.60;50.30;83.60;1.5;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;5;1;1;2010;99.75;50.20;84.15;1.5;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;6;1;1;2010;100.07;49.93;83.60;1.5;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;7;1;1;2010;100.20;50.15;84.95;1.5;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;8;1;1;2010;100.30;49.60;86.05;1.5;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;9;1;1;2010;100.10;45.50;90.30;1.5;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;10;1;1;2010;98.70;46.80;86.70;1.5;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;11;1;1;2010;98.15;40.05;102.05;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;12;1;1;2010;93.85;44.80;89.15;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;13;1;1;2010;92.40;43.90;94.60;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;14;1;1;2010;90.15;41.10;101.95;1.8;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;15;1;1;2010;89.80;48.47;85.67;1.8;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;16;1;1;2010;89.40;48.20;90.10;1.9;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;17;1;1;2010;89.40;47.50;88.73;1.8;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;18;1;1;2010;92.25;49.65;80.30;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;19;1;1;2010;92.75;41.10;105.35;1.8;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;20;1;1;2010;91.95;44.85;97.45;1.8;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;21;1;1;2010;93.45;43.60;95.40;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;22;1;1;2010;93.20;43.35;100.43;1.8;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;23;1;1;2010;92.30;44.60;96.85;1.8;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;0;2;1;2010;93.17;49.93;78.93;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;1;2;1;2010;92.87;49.90;80.60;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;2;2;1;2010;95.10;49.90;80.65;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;3;2;1;2010;95.90;48.95;81.10;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;4;2;1;2010;96.80;47.70;86.35;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;5;2;1;2010;95.45;49.80;81.45;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;6;2;1;2010;96.45;49.40;82.60;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;7;2;1;2010;96.43;48.70;84.27;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;8;2;1;2010;95.50;43.95;92.30;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;9;2;1;2010;95.05;48.15;85.90;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;10;2;1;2010;94.13;45.47;89.10;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;11;2;1;2010;92.80;43.20;99.95;1.8;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;12;2;1;2010;92.37;43.73;96.40;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;13;2;1;2010;91.97;47.10;86.77;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;14;2;1;2010;93.90;38.00;111.70;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;15;2;1;2010;92.73;47.40;85.93;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;16;2;1;2010;92.20;44.77;90.30;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;17;2;1;2010;93.60;49.10;85.30;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;18;2;1;2010;94.50;47.37;86.87;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;19;2;1;2010;95.93;45.30;95.93;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;20;2;1;2010;96.40;45.85;94.95;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;21;2;1;2010;96.55;48.00;87.55;1.6;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;22;2;1;2010;96.50;44.87;102.47;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;23;2;1;2010;95.93;50.40;85.97;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;0;3;1;2010;95.37;51.00;85.33;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;1;3;1;2010;93.50;48.90;89.40;1.7;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;2;3;1;2010;92.90;51.35;86.00;1.8;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;3;3;1;2010;92.95;51.80;88.05;1.9;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;4;3;1;2010;93.27;52.00;88.03;1.9;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;5;3;1;2010;94.03;51.67;91.77;1.9;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;6;3;1;2010;94.90;52.30;88.20;1.8;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;7;3;1;2010;94.70;48.70;109.15;2.1;0.00;0.0
12033;NAMYSŁOWSKA 13                          ;LG  ;8;3;1;2010;91.65;43.05;124.15;2.3;0.00;0.0
