lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
12059;SZANAJCY J 20                           ;LG  ;0;1;1;2010;99.65;49.25;158.00;2.7;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;1;1;1;2010;100.20;49.70;159.00;2.8;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;2;1;1;2010;100.65;44.00;184.50;2.8;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;3;1;1;2010;101.50;50.00;163.00;2.8;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;4;1;1;2010;101.87;50.63;158.00;2.7;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;5;1;1;2010;102.18;49.18;162.00;2.7;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;6;1;1;2010;102.25;50.55;159.00;2.7;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;7;1;1;2010;102.45;48.75;168.00;2.7;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;8;1;1;2010;102.50;49.43;164.67;2.7;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;9;1;1;2010;102.23;48.60;159.00;2.6;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;10;1;1;2010;100.98;47.08;157.25;2.6;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;11;1;1;2010;99.80;39.30;197.00;2.8;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;12;1;1;2010;96.00;38.40;212.50;3.2;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;13;1;1;2010;94.53;43.80;177.00;3.0;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;14;1;1;2010;92.20;45.00;174.00;3.2;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;15;1;1;2010;91.43;44.10;186.00;3.4;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;16;1;1;2010;90.90;47.13;171.00;3.4;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;17;1;1;2010;91.60;42.47;205.67;3.6;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;18;1;1;2010;94.40;48.10;164.50;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;19;1;1;2010;94.80;47.60;166.67;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;20;1;1;2010;93.87;46.83;168.00;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;21;1;1;2010;95.70;46.75;169.50;3.0;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;22;1;1;2010;95.10;49.70;157.50;3.0;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;23;1;1;2010;93.97;47.13;168.33;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;0;2;1;2010;95.67;50.40;157.67;3.0;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;1;2;1;2010;94.90;50.50;152.33;3.0;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;2;2;1;2010;97.20;50.40;154.50;2.9;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;3;2;1;2010;98.25;50.40;154.75;2.8;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;4;2;1;2010;98.27;50.17;158.00;2.9;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;5;2;1;2010;97.87;50.37;154.33;2.9;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;6;2;1;2010;98.57;50.23;158.33;2.9;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;7;2;1;2010;98.57;49.20;162.00;2.9;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;8;2;1;2010;97.75;49.00;163.00;2.9;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;9;2;1;2010;97.23;45.10;176.00;2.9;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;10;2;1;2010;95.85;38.80;211.00;3.2;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;11;2;1;2010;94.53;45.80;167.33;3.0;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;12;2;1;2010;94.00;42.73;179.67;3.0;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;13;2;1;2010;93.90;44.30;180.00;3.2;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;14;2;1;2010;95.88;42.20;192.50;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;15;2;1;2010;94.95;45.85;176.75;3.2;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;16;2;1;2010;94.87;47.93;165.67;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;17;2;1;2010;95.75;44.75;182.50;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;18;2;1;2010;97.00;45.25;179.25;3.0;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;19;2;1;2010;98.27;47.43;172.33;3.0;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;20;2;1;2010;98.57;45.83;181.33;3.0;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;21;2;1;2010;98.50;45.70;187.67;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;22;2;1;2010;98.70;47.30;184.00;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;23;2;1;2010;98.20;48.00;181.50;3.2;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;0;3;1;2010;97.33;47.98;190.00;3.4;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;1;3;1;2010;95.83;48.73;184.67;3.4;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;2;3;1;2010;94.70;52.45;170.00;3.5;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;3;3;1;2010;94.80;52.80;172.00;3.6;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;4;3;1;2010;94.90;53.23;176.67;3.7;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;6;3;1;2010;95.80;53.50;175.00;3.6;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;7;3;1;2010;96.50;46.20;220.00;3.8;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;9;3;1;2010;94.20;47.00;207.00;3.8;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;10;3;1;2010;94.95;47.85;209.00;3.9;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;11;3;1;2010;92.85;44.58;215.50;3.9;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;12;3;1;2010;99.33;47.85;221.00;3.8;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;13;3;1;2010;100.90;42.10;243.50;3.6;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;14;3;1;2010;105.33;48.67;212.00;3.3;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;15;3;1;2010;109.33;48.33;216.67;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;16;3;1;2010;109.25;51.45;203.50;3.1;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;17;3;1;2010;108.30;43.30;256.00;3.4;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;18;3;1;2010;108.20;53.80;220.00;3.5;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;19;3;1;2010;107.87;46.87;248.00;3.5;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;20;3;1;2010;108.00;50.20;233.00;3.5;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;21;3;1;2010;108.00;50.90;229.00;3.5;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;22;3;1;2010;108.45;53.80;225.50;3.6;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;23;3;1;2010;109.00;50.03;238.00;3.5;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;0;4;1;2010;109.95;56.80;209.50;3.5;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;1;4;1;2010;109.20;58.10;209.00;3.6;0.00;0.0
12059;SZANAJCY J 20                           ;LG  ;2;4;1;2010;109.50;58.05;212.00;3.6;0.00;0.0
