lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
12153;TORUŃSKA 58                             ;LG  ;0;1;1;2010;98.83;53.78;84.00;1.6;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;1;1;1;2010;98.90;54.33;83.33;1.6;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;2;1;1;2010;99.67;54.67;79.33;1.5;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;3;1;1;2010;100.45;54.70;89.50;1.7;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;4;1;1;2010;100.85;55.30;83.50;1.6;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;5;1;1;2010;100.60;54.15;82.50;1.6;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;6;1;1;2010;100.83;50.23;93.00;1.6;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;7;1;1;2010;100.93;53.57;90.67;1.7;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;8;1;1;2010;100.83;51.80;86.67;1.5;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;9;1;1;2010;99.40;48.40;91.00;1.6;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;10;1;1;2010;99.03;43.43;96.00;1.5;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;11;1;1;2010;95.00;45.05;86.00;1.5;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;12;1;1;2010;93.60;48.23;97.67;1.9;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;13;1;1;2010;91.55;49.10;100.00;2.1;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;14;1;1;2010;90.70;44.60;103.00;2.0;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;15;1;1;2010;89.90;53.45;90.00;2.2;0.00;0.0
12153;TORUŃSKA 58                             ;LG  ;16;1;1;2010;89.40;52.30;87.00;2.1;0.00;0.0
