lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
12394;ASKENAZEGO S 7                          ;LG  ;0;1;1;2010;99.10;45.20;392.00;6.3;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;1;1;1;2010;99.50;48.85;367.50;6.3;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;2;1;1;2010;100.17;47.80;374.33;6.2;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;3;1;1;2010;100.97;48.90;368.00;6.1;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;4;1;1;2010;101.30;48.80;363.00;6.0;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;5;1;1;2010;101.47;49.07;362.33;6.0;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;6;1;1;2010;101.45;49.00;369.50;6.1;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;7;1;1;2010;101.65;45.95;404.50;6.3;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;8;1;1;2010;101.65;43.25;411.00;6.1;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;9;1;1;2010;100.10;41.10;409.00;6.0;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;10;1;1;2010;100.17;38.30;429.33;6.0;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;11;1;1;2010;96.70;41.40;418.00;6.6;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;12;1;1;2010;94.57;44.80;392.00;6.8;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;13;1;1;2010;92.43;44.37;410.00;7.4;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;14;1;1;2010;91.40;44.45;416.50;7.7;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;15;1;1;2010;90.60;44.83;401.00;7.6;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;16;1;1;2010;90.03;45.77;396.00;7.8;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;17;1;1;2010;92.25;46.50;385.50;7.4;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;18;1;1;2010;93.60;45.90;387.00;7.1;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;19;1;1;2010;93.57;44.73;401.33;7.1;0.00;0.0
12394;ASKENAZEGO S 7                          ;LG  ;20;1;1;2010;94.10;37.30;454.00;6.9;0.00;0.0
