lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
12653;JUNKIEWICZ H 4                          ;LG  ;0;1;1;2010;95.50;48.73;303.00;5.6;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;1;1;1;2010;96.97;50.03;286.00;5.3;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;2;1;1;2010;98.17;50.23;286.67;5.2;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;3;1;1;2010;98.35;52.73;275.25;5.3;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;4;1;1;2010;98.95;52.98;272.00;5.2;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;5;1;1;2010;99.78;53.08;269.50;5.0;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;6;1;1;2010;100.10;52.58;274.50;5.0;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;7;1;1;2010;100.25;51.15;282.50;5.0;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;8;1;1;2010;100.28;49.75;287.75;5.0;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;9;1;1;2010;100.40;45.83;315.75;5.0;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;10;1;1;2010;100.40;44.80;314.00;4.9;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;11;1;1;2010;99.55;41.15;332.25;5.0;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;12;1;1;2010;98.85;47.15;303.50;5.1;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;13;1;1;2010;96.38;46.23;296.75;5.2;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;14;1;1;2010;93.53;46.03;272.00;5.0;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;15;1;1;2010;91.40;42.58;250.50;4.5;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;16;1;1;2010;90.10;42.63;226.00;4.1;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;17;1;1;2010;89.60;42.05;221.75;4.1;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;18;1;1;2010;88.90;43.57;226.33;4.3;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;19;1;1;2010;90.63;35.35;288.75;4.5;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;20;1;1;2010;92.63;43.68;270.50;4.8;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;21;1;1;2010;92.63;43.98;286.00;5.1;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;22;1;1;2010;92.90;39.87;289.33;4.7;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;23;1;1;2010;93.95;44.95;276.50;4.9;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;0;2;1;2010;93.33;49.50;254.50;5.1;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;1;2;1;2010;92.67;51.07;274.33;5.7;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;2;2;1;2010;93.70;52.97;276.00;5.9;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;3;2;1;2010;95.00;52.77;271.67;5.6;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;4;2;1;2010;96.20;52.75;272.00;5.5;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;5;2;1;2010;96.93;52.30;270.50;5.3;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;6;2;1;2010;95.70;48.43;304.33;5.6;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;7;2;1;2010;96.90;49.83;302.33;5.6;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;8;2;1;2010;96.80;48.30;307.00;5.5;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;9;2;1;2010;96.88;44.53;322.50;5.4;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;10;2;1;2010;95.73;44.33;315.75;5.3;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;11;2;1;2010;94.80;44.25;311.75;5.4;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;12;2;1;2010;93.35;45.30;336.50;6.1;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;13;2;1;2010;93.13;46.58;336.50;6.3;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;14;2;1;2010;92.75;48.55;315.00;6.2;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;15;2;1;2010;92.70;48.05;328.75;6.4;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;16;2;1;2010;93.75;50.90;291.75;5.9;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;17;2;1;2010;92.63;48.07;323.00;6.3;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;18;2;1;2010;92.77;50.73;307.33;6.4;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;19;2;1;2010;94.80;46.55;337.00;6.1;0.00;0.0
12653;JUNKIEWICZ H 4                          ;LG  ;20;2;1;2010;95.70;47.23;328.00;5.9;0.00;0.0
