lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
13253;Igańska 2                               ;LG  ;0;1;1;2010;97.44;60.78;24.70;0.6;45.60;1.0
13253;Igańska 2                               ;LG  ;1;1;1;2010;97.83;60.67;25.17;0.6;45.60;1.0
13253;Igańska 2                               ;LG  ;2;1;1;2010;97.22;60.53;24.80;0.6;45.60;1.0
13253;Igańska 2                               ;LG  ;3;1;1;2010;97.67;60.73;25.40;0.6;45.60;1.0
13253;Igańska 2                               ;LG  ;4;1;1;2010;97.97;60.85;25.80;0.6;45.60;1.0
13253;Igańska 2                               ;LG  ;5;1;1;2010;99.19;61.27;25.95;0.6;25.70;0.6
13253;Igańska 2                               ;LG  ;6;1;1;2010;98.62;61.40;25.60;0.6;25.70;0.6
13253;Igańska 2                               ;LG  ;7;1;1;2010;97.96;61.20;25.63;0.6;25.70;0.6
13253;Igańska 2                               ;LG  ;8;1;1;2010;97.59;60.97;25.28;0.6;25.70;0.6
13253;Igańska 2                               ;LG  ;9;1;1;2010;97.47;60.96;24.97;0.6;25.70;0.6
13253;Igańska 2                               ;LG  ;10;1;1;2010;96.55;60.61;25.93;0.6;25.70;0.6
13253;Igańska 2                               ;LG  ;11;1;1;2010;96.38;60.65;25.03;0.6;25.70;0.6
13253;Igańska 2                               ;LG  ;12;1;1;2010;95.52;60.62;24.00;0.6;25.70;0.6
13253;Igańska 2                               ;LG  ;13;1;1;2010;95.33;60.16;24.83;0.6;25.70;0.6
13253;Igańska 2                               ;LG  ;14;1;1;2010;93.49;60.01;25.20;0.7;25.70;0.6
13253;Igańska 2                               ;LG  ;15;1;1;2010;90.85;59.90;24.75;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;16;1;1;2010;90.99;59.98;25.13;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;17;1;1;2010;90.34;59.80;25.13;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;18;1;1;2010;91.27;60.21;25.70;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;19;1;1;2010;90.96;60.06;25.23;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;20;1;1;2010;91.73;60.01;25.08;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;21;1;1;2010;92.14;59.97;24.97;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;22;1;1;2010;91.82;59.45;24.40;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;23;1;1;2010;91.85;59.64;25.13;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;0;2;1;2010;91.68;59.95;25.35;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;1;2;1;2010;94.81;59.94;24.90;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;2;2;1;2010;96.04;60.01;24.93;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;3;2;1;2010;96.93;60.28;24.45;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;4;2;1;2010;96.05;60.29;25.40;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;5;2;1;2010;95.98;60.31;25.07;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;6;2;1;2010;95.21;59.63;25.13;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;7;2;1;2010;94.58;59.91;25.00;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;8;2;1;2010;94.27;59.38;25.55;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;9;2;1;2010;95.14;59.62;25.55;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;10;2;1;2010;94.65;59.52;25.33;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;11;2;1;2010;95.00;59.43;25.20;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;12;2;1;2010;94.57;59.65;24.63;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;13;2;1;2010;93.91;59.40;24.80;0.6;25.70;0.7
13253;Igańska 2                               ;LG  ;14;2;1;2010;90.12;59.42;24.70;0.7;25.70;0.7
13253;Igańska 2                               ;LG  ;15;2;1;2010;83.78;58.97;24.15;0.8;25.70;0.7
