lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
14271;Komorska 4 w1                           ;LG  ;0;1;1;2010;100.23;46.23;283.67;4.6;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;1;1;1;2010;99.90;50.10;267.00;4.7;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;2;1;1;2010;100.35;48.40;268.00;4.5;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;3;1;1;2010;100.23;50.87;262.33;4.6;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;4;1;1;2010;100.25;50.15;269.00;4.7;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;5;1;1;2010;101.13;49.23;280.25;4.7;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;6;1;1;2010;101.73;50.77;269.67;4.6;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;7;1;1;2010;100.30;49.30;284.00;4.9;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;8;1;1;2010;101.07;46.30;290.00;4.6;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;9;1;1;2010;99.60;43.13;306.33;4.7;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;10;1;1;2010;99.83;44.77;295.67;4.7;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;11;1;1;2010;98.90;41.50;298.67;4.5;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;12;1;1;2010;98.63;45.90;284.00;4.7;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;13;1;1;2010;97.83;41.60;311.67;4.8;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;14;1;1;2010;97.60;43.23;301.67;4.8;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;15;1;1;2010;93.83;44.60;307.67;5.5;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;16;1;1;2010;92.80;47.33;286.00;5.5;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;17;1;1;2010;93.00;46.85;286.50;5.4;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;18;1;1;2010;92.60;47.85;290.50;5.7;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;19;1;1;2010;92.68;47.03;290.00;5.6;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;20;1;1;2010;93.55;50.30;270.00;5.5;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;21;1;1;2010;94.03;45.70;292.33;5.3;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;22;1;1;2010;94.20;43.13;316.00;5.4;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;23;1;1;2010;94.03;48.57;274.00;5.3;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;0;2;1;2010;93.87;49.30;267.67;5.2;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;1;2;1;2010;94.30;50.95;253.00;5.1;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;2;2;1;2010;97.55;51.15;252.00;4.8;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;3;2;1;2010;99.45;51.10;253.50;4.6;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;4;2;1;2010;100.20;50.45;259.00;4.6;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;5;2;1;2010;98.58;50.25;260.75;4.7;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;6;2;1;2010;97.65;50.05;267.50;4.9;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;7;2;1;2010;97.57;45.37;299.00;5.0;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;8;2;1;2010;96.37;45.80;289.67;5.0;0.00;0.0
14271;Komorska 4 w1                           ;LG  ;9;2;1;2010;97.80;42.45;314.00;4.9;0.00;0.0
