lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
14374;Kordeckiego 79                          ;LG  ;0;1;1;2010;97.28;35.85;144.50;2.0;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;1;1;1;2010;98.00;40.80;132.00;2.0;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;2;1;1;2010;98.10;38.17;136.33;2.0;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;3;1;1;2010;98.10;40.25;133.50;2.0;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;4;1;1;2010;98.20;39.73;131.50;2.0;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;5;1;1;2010;97.80;41.10;135.33;2.1;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;6;1;1;2010;98.10;37.45;143.50;2.1;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;7;1;1;2010;98.73;40.80;138.33;2.1;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;8;1;1;2010;99.70;37.00;140.33;1.9;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;9;1;1;2010;99.20;35.60;147.00;2.0;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;10;1;1;2010;98.30;34.00;149.00;2.0;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;11;1;1;2010;98.37;30.60;159.00;2.0;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;12;1;1;2010;97.00;28.90;174.33;2.2;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;13;1;1;2010;97.23;35.97;139.33;2.0;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;14;1;1;2010;96.80;35.10;150.00;2.1;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;15;1;1;2010;95.90;33.95;152.75;2.1;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;16;1;1;2010;95.70;30.53;163.67;2.2;0.00;0.0
14374;Kordeckiego 79                          ;LG  ;17;1;1;2010;94.90;34.70;150.00;2.2;0.00;0.0
