lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
15556;PODSTAROŚCICH 11                        ;LG  ;0;1;1;2010;81.83;37.73;6.63;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;1;1;1;2010;83.60;38.20;6.80;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;2;1;1;2010;84.00;38.65;6.85;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;3;1;1;2010;84.27;38.83;6.80;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;4;1;1;2010;84.77;38.90;6.87;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;5;1;1;2010;85.43;39.10;6.93;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;6;1;1;2010;85.30;39.20;6.90;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;7;1;1;2010;85.03;39.10;6.90;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;8;1;1;2010;84.90;39.10;6.90;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;9;1;1;2010;85.05;39.08;6.90;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;10;1;1;2010;84.75;39.25;7.10;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;11;1;1;2010;84.40;38.95;6.80;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;12;1;1;2010;82.67;38.63;6.07;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;13;1;1;2010;81.65;38.15;6.05;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;14;1;1;2010;80.87;37.63;6.00;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;15;1;1;2010;79.20;37.15;5.85;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;16;1;1;2010;76.73;36.60;5.57;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;17;1;1;2010;74.70;36.15;5.35;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;18;1;1;2010;75.80;35.90;5.55;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;19;1;1;2010;78.43;36.07;5.83;0.1;0.00;0.0
15556;PODSTAROŚCICH 11                        ;LG  ;20;1;1;2010;78.75;36.35;5.85;0.1;0.00;0.0
