lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;0;1;1;2010;92.95;51.70;271.00;5.8;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;1;1;1;2010;94.58;50.30;289.00;5.7;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;2;1;1;2010;96.10;52.15;291.00;5.8;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;3;1;1;2010;97.55;53.55;263.00;5.2;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;4;1;1;2010;98.60;54.90;271.00;5.5;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;5;1;1;2010;98.45;54.70;281.50;5.7;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;6;1;1;2010;99.45;55.45;306.00;6.1;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;7;1;1;2010;100.00;54.93;244.75;4.8;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;8;1;1;2010;100.07;52.43;266.67;4.9;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;9;1;1;2010;100.10;52.35;300.00;5.5;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;10;1;1;2010;100.07;49.90;284.33;5.0;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;11;1;1;2010;99.95;43.70;269.00;4.2;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;12;1;1;2010;100.37;46.23;307.33;4.9;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;13;1;1;2010;99.87;45.83;344.33;5.6;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;14;1;1;2010;97.90;44.30;336.00;5.5;0.00;0.0
19411;ŚWIĘTOCHOWSKIEGO A 3 w.II               ;LG  ;15;1;1;2010;95.80;46.60;303.33;5.4;0.00;0.0
