lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
19547;CONRADA J 4 włzeł II                    ;LG  ;0;1;1;2010;96.38;54.28;211.97;4.4;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;1;1;1;2010;98.87;54.24;213.45;4.2;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;2;1;1;2010;99.81;54.32;212.55;4.1;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;3;1;1;2010;99.21;53.92;218.55;4.2;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;4;1;1;2010;100.16;54.75;210.90;4.1;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;5;1;1;2010;100.89;54.91;209.05;4.0;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;6;1;1;2010;101.13;54.96;213.80;4.1;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;7;1;1;2010;101.04;52.68;220.85;4.0;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;8;1;1;2010;101.17;53.02;223.25;4.0;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;9;1;1;2010;101.05;51.34;234.80;4.1;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;10;1;1;2010;101.42;50.58;232.20;3.9;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;11;1;1;2010;101.36;52.09;223.00;3.9;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;12;1;1;2010;100.61;50.33;231.90;4.0;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;13;1;1;2010;96.69;51.88;225.03;4.4;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;14;1;1;2010;95.18;50.94;228.80;4.5;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;15;1;1;2010;92.56;52.41;215.95;4.7;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;16;1;1;2010;91.96;52.82;213.85;4.8;326.60;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;17;1;1;2010;89.00;53.22;214.23;5.2;217.73;3.5
19547;CONRADA J 4 włzeł II                    ;LG  ;18;1;1;2010;88.29;52.58;216.27;5.3;141.87;3.5
19547;CONRADA J 4 włzeł II                    ;LG  ;19;1;1;2010;92.82;52.16;236.27;5.1;216.70;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;20;1;1;2010;93.40;52.84;220.98;4.7;232.15;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;21;1;1;2010;93.60;50.28;236.15;4.8;234.70;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;22;1;1;2010;94.48;49.78;246.90;4.8;239.40;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;23;1;1;2010;94.88;53.74;209.55;4.5;239.40;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;0;2;1;2010;92.90;55.10;199.30;4.6;239.40;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;1;2;1;2010;94.61;55.19;206.20;4.6;239.40;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;2;2;1;2010;95.29;54.90;203.55;4.4;239.40;5.3
19547;CONRADA J 4 włzeł II                    ;LG  ;3;2;1;2010;96.40;55.30;206.00;4.4;239.40;5.3
