lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
20376;KOBIELSKA 1                             ;LG  ;0;1;1;2010;98.73;49.57;151.00;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;1;1;1;2010;99.15;48.95;150.50;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;2;1;1;2010;99.27;53.27;137.67;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;3;1;1;2010;99.30;51.47;143.33;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;4;1;1;2010;98.65;52.10;139.00;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;5;1;1;2010;99.13;48.58;153.00;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;6;1;1;2010;99.10;51.97;142.67;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;7;1;1;2010;100.50;51.00;146.00;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;8;1;1;2010;100.70;50.70;149.50;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;9;1;1;2010;99.37;49.80;146.33;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;10;1;1;2010;99.87;39.47;191.00;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;11;1;1;2010;98.70;48.35;150.50;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;12;1;1;2010;98.40;47.90;149.33;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;13;1;1;2010;97.73;49.03;143.67;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;14;1;1;2010;97.35;50.40;140.50;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;15;1;1;2010;96.65;44.50;153.50;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;16;1;1;2010;96.20;44.17;156.00;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;17;1;1;2010;93.50;46.55;140.50;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;18;1;1;2010;91.80;49.85;128.00;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;19;1;1;2010;91.77;45.53;144.00;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;20;1;1;2010;91.90;41.35;158.00;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;21;1;1;2010;91.67;43.37;147.00;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;22;1;1;2010;92.23;47.43;138.00;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;23;1;1;2010;93.00;50.35;127.50;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;0;2;1;2010;93.13;48.78;134.25;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;1;2;1;2010;93.03;51.03;128.00;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;2;2;1;2010;92.87;51.23;127.67;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;3;2;1;2010;94.85;51.70;129.00;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;4;2;1;2010;97.40;52.25;135.00;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;5;2;1;2010;98.40;52.88;136.25;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;6;2;1;2010;98.13;53.20;134.33;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;7;2;1;2010;97.60;50.35;140.50;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;8;2;1;2010;97.17;48.10;151.33;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;9;2;1;2010;96.55;46.85;146.00;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;10;2;1;2010;95.40;41.30;169.00;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;11;2;1;2010;96.70;49.70;139.25;2.6;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;12;2;1;2010;94.90;49.73;138.67;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;13;2;1;2010;89.47;44.40;140.33;2.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;14;2;1;2010;73.80;47.65;86.00;2.9;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;15;2;1;2010;45.97;41.50;25.67;4.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;16;2;1;2010;60.85;40.38;103.50;4.5;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;17;2;1;2010;85.95;44.60;179.50;3.8;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;18;2;1;2010;91.67;51.50;169.33;3.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;19;2;1;2010;87.93;51.90;153.25;3.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;20;2;1;2010;90.55;56.20;146.00;3.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;21;2;1;2010;96.57;50.20;195.67;3.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;22;2;1;2010;95.80;57.35;161.00;3.7;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;23;2;1;2010;93.90;50.90;113.67;2.3;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;0;3;1;2010;91.20;51.45;105.50;2.3;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;1;3;1;2010;94.30;51.20;114.50;2.3;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;2;3;1;2010;97.20;48.30;129.50;2.3;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;3;3;1;2010;96.53;48.60;127.00;2.3;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;4;3;1;2010;93.53;48.77;118.33;2.3;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;5;3;1;2010;94.60;50.45;117.00;2.3;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;6;3;1;2010;95.27;47.20;127.33;2.3;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;7;3;1;2010;95.43;47.77;124.33;2.3;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;8;3;1;2010;94.55;44.90;134.50;2.4;0.00;0.0
20376;KOBIELSKA 1                             ;LG  ;9;3;1;2010;94.43;42.65;142.25;2.4;0.00;0.0
