lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;0;1;1;2010;91.96;60.90;47.15;1.3;80.40;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;1;1;1;2010;91.46;50.91;62.30;1.3;80.40;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;2;1;1;2010;90.88;59.97;47.25;1.4;80.40;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;3;1;1;2010;90.65;60.02;47.13;1.3;80.40;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;4;1;1;2010;90.70;59.89;47.15;1.3;80.40;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;5;1;1;2010;90.98;59.03;52.00;1.4;35.48;1.0
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;6;1;1;2010;91.61;59.42;49.60;1.3;52.20;1.3
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;7;1;1;2010;93.02;60.58;49.97;1.4;52.20;1.3
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;8;1;1;2010;93.87;61.71;50.63;1.4;52.20;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;9;1;1;2010;94.18;61.90;50.40;1.4;52.20;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;10;1;1;2010;94.62;60.89;52.75;1.4;52.20;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;11;1;1;2010;95.31;60.36;54.35;1.4;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;12;1;1;2010;95.66;62.39;51.30;1.4;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;13;1;1;2010;95.90;62.47;51.17;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;14;1;1;2010;95.99;62.56;50.15;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;15;1;1;2010;96.04;61.84;50.17;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;16;1;1;2010;95.99;59.60;52.45;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;17;1;1;2010;95.21;60.22;48.74;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;18;1;1;2010;94.00;50.19;70.65;1.2;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;19;1;1;2010;91.60;57.06;49.80;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;20;1;1;2010;89.64;48.40;61.35;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;21;1;1;2010;87.77;58.41;42.95;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;22;1;1;2010;87.06;57.73;42.50;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;23;1;1;2010;86.06;57.49;42.50;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;0;2;1;2010;86.25;57.35;42.90;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;1;2;1;2010;88.12;58.42;44.25;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;2;2;1;2010;88.85;58.93;44.67;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;3;2;1;2010;88.48;58.57;44.40;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;4;2;1;2010;89.18;59.14;45.20;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;5;2;1;2010;89.68;59.50;45.87;1.3;57.50;1.4
22217;STRUMYKOWA 29D OŚ.BUCZYNEK I            ;LG  ;6;2;1;2010;88.72;59.10;44.83;1.3;57.50;1.4
