lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
23572;SOKRATESA 6                             ;LG  ;0;1;1;2010;96.13;44.57;98.93;1.7;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;1;1;1;2010;97.55;45.65;91.85;1.6;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;2;1;1;2010;97.07;44.20;101.87;1.7;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;3;1;1;2010;97.70;44.07;104.13;1.7;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;4;1;1;2010;98.60;48.60;94.00;1.6;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;5;1;1;2010;98.80;48.33;94.00;1.6;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;6;1;1;2010;98.40;48.50;94.40;1.7;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;7;1;1;2010;98.45;48.60;91.30;1.6;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;8;1;1;2010;98.67;46.77;101.27;1.7;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;9;1;1;2010;98.23;44.80;99.57;1.6;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;10;1;1;2010;97.65;45.60;89.50;1.5;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;11;1;1;2010;97.73;40.77;102.93;1.6;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;12;1;1;2010;94.35;36.50;115.25;1.8;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;13;1;1;2010;95.00;45.97;100.57;1.8;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;14;1;1;2010;92.85;41.65;111.90;1.9;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;15;1;1;2010;90.55;46.40;97.30;1.9;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;16;1;1;2010;87.40;39.83;105.10;1.9;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;17;1;1;2010;86.45;42.75;97.30;1.9;0.00;0.0
23572;SOKRATESA 6                             ;LG  ;18;1;1;2010;90.97;43.83;100.40;1.8;0.00;0.0
