lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
2465;SZAŁKA J 6                              ;LG  ;0;1;1;2010;92.33;43.30;65.18;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;1;1;1;2010;94.07;46.60;59.57;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;2;1;1;2010;95.33;48.43;55.15;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;3;1;1;2010;95.00;48.63;54.77;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;4;1;1;2010;95.73;48.80;54.93;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;5;1;1;2010;96.30;48.93;54.13;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;6;1;1;2010;96.70;48.33;53.37;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;7;1;1;2010;96.33;45.87;59.67;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;8;1;1;2010;96.60;41.80;68.25;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;9;1;1;2010;96.45;45.45;55.33;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;10;1;1;2010;96.40;42.83;59.37;0.9;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;11;1;1;2010;95.90;43.77;56.47;0.9;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;12;1;1;2010;95.98;43.73;59.88;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;13;1;1;2010;92.70;47.40;51.50;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;14;1;1;2010;92.20;44.38;59.23;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;15;1;1;2010;90.00;45.43;59.08;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;16;1;1;2010;88.00;41.93;60.78;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;17;1;1;2010;85.68;47.03;52.85;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;18;1;1;2010;85.48;46.10;53.50;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;19;1;1;2010;89.70;46.10;60.20;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;20;1;1;2010;89.40;47.13;46.20;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;21;1;1;2010;89.90;45.70;61.05;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;22;1;1;2010;90.43;44.40;55.70;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;23;1;1;2010;90.73;45.70;55.67;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;0;2;1;2010;89.70;48.57;38.47;0.8;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;1;2;1;2010;90.00;48.37;49.37;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;2;2;1;2010;91.17;48.63;53.13;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;3;2;1;2010;90.78;48.50;52.23;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;4;2;1;2010;92.83;48.53;53.93;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;5;2;1;2010;93.10;48.25;57.28;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;6;2;1;2010;92.45;48.70;50.10;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;7;2;1;2010;93.27;47.23;54.77;1.0;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;8;2;1;2010;92.95;46.75;55.35;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;9;2;1;2010;93.25;44.95;63.75;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;10;2;1;2010;92.65;43.68;60.58;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;11;2;1;2010;92.43;44.33;61.37;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;12;2;1;2010;90.90;45.00;56.80;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;13;2;1;2010;90.77;45.93;59.13;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;14;2;1;2010;89.47;47.00;54.07;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;15;2;1;2010;89.83;47.00;56.25;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;16;2;1;2010;89.85;44.00;57.75;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;17;2;1;2010;91.63;45.73;58.33;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;18;2;1;2010;90.68;38.43;70.58;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;19;2;1;2010;91.25;47.90;52.35;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;20;2;1;2010;91.98;47.58;55.58;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;21;2;1;2010;92.80;48.10;57.55;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;22;2;1;2010;93.00;46.30;58.47;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;23;2;1;2010;92.60;47.50;56.20;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;0;3;1;2010;92.88;48.63;55.03;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;1;3;1;2010;92.40;49.47;55.23;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;2;3;1;2010;91.85;49.50;53.65;1.1;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;3;3;1;2010;89.50;49.30;54.87;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;4;3;1;2010;90.10;49.13;55.30;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;5;3;1;2010;90.63;48.83;57.07;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;6;3;1;2010;90.50;48.30;56.97;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;7;3;1;2010;91.50;47.43;59.50;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;8;3;1;2010;92.20;45.80;63.05;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;9;3;1;2010;92.30;48.10;59.00;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;10;3;1;2010;90.93;43.10;65.13;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;11;3;1;2010;90.80;44.27;63.60;1.2;0.00;0.0
2465;SZAŁKA J 6                              ;LG  ;12;3;1;2010;93.93;46.37;65.73;1.2;0.00;0.0
