lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
2549;WIELUŃSKA 6                             ;LG  ;0;1;1;2010;96.26;42.26;88.63;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;1;1;1;2010;98.60;39.09;97.37;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;2;1;1;2010;98.74;47.83;81.00;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;3;1;1;2010;99.43;46.48;86.95;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;4;1;1;2010;100.04;48.23;85.10;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;5;1;1;2010;100.75;48.78;85.33;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;6;1;1;2010;100.68;48.30;84.70;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;7;1;1;2010;100.37;46.63;86.95;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;8;1;1;2010;100.69;42.38;93.70;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;9;1;1;2010;100.73;38.94;98.03;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;10;1;1;2010;100.79;40.30;98.63;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;11;1;1;2010;100.23;43.14;92.05;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;12;1;1;2010;97.94;36.41;97.60;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;13;1;1;2010;96.40;38.34;92.60;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;14;1;1;2010;95.51;35.28;93.15;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;15;1;1;2010;93.29;41.28;84.50;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;16;1;1;2010;90.20;36.54;84.90;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;18;1;1;2010;88.63;39.50;78.00;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;19;1;1;2010;92.64;37.21;88.55;1.4;130.70;1.5
2549;WIELUŃSKA 6                             ;LG  ;20;1;1;2010;92.77;38.17;88.80;1.4;130.70;1.5
