lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;0;1;1;2010;92.80;50.41;157.35;3.3;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;1;1;1;2010;93.79;46.22;173.63;3.2;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;2;1;1;2010;95.39;51.26;158.23;3.1;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;3;1;1;2010;97.02;51.39;158.00;3.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;4;1;1;2010;96.65;51.58;155.43;3.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;5;1;1;2010;97.36;51.88;155.80;3.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;6;1;1;2010;98.22;51.34;163.20;3.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;7;1;1;2010;98.43;49.73;167.78;3.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;8;1;1;2010;98.19;45.68;186.80;3.1;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;9;1;1;2010;98.33;48.74;164.40;2.9;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;10;1;1;2010;98.28;46.65;174.10;2.9;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;11;1;1;2010;98.24;44.48;177.13;2.9;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;12;1;1;2010;98.15;44.60;180.43;2.9;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;13;1;1;2010;97.93;43.46;190.70;3.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;14;1;1;2010;94.94;47.04;181.43;3.3;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;15;1;1;2010;94.37;47.47;167.95;3.1;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;16;1;1;2010;91.91;46.53;186.30;3.6;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;17;1;1;2010;90.30;45.91;184.48;3.6;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;18;1;1;2010;87.42;47.83;173.50;3.8;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;19;1;1;2010;87.08;46.48;183.20;3.9;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;20;1;1;2010;90.59;46.18;182.05;3.6;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;21;1;1;2010;90.98;47.85;171.17;3.4;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;22;1;1;2010;91.68;46.54;173.14;3.3;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;23;1;1;2010;92.23;50.96;154.80;3.3;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;0;2;1;2010;92.55;49.14;161.90;3.2;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;1;2;1;2010;91.81;51.96;144.37;3.2;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;2;2;1;2010;91.50;52.09;144.50;3.2;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;3;2;1;2010;92.63;51.84;149.63;3.2;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;4;2;1;2010;92.58;51.42;150.88;3.2;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;5;2;1;2010;94.59;51.13;151.68;3.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;6;2;1;2010;94.83;49.80;162.00;3.1;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;7;2;1;2010;94.10;46.52;183.83;3.4;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;8;2;1;2010;95.46;46.78;177.67;3.2;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;9;2;1;2010;94.84;44.77;188.80;3.2;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;10;2;1;2010;95.02;44.78;185.33;3.2;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;11;2;1;2010;94.43;43.69;192.85;3.3;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;12;2;1;2010;94.34;43.51;195.73;3.4;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;13;2;1;2010;92.89;42.55;211.67;3.6;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;14;2;1;2010;92.63;47.68;183.70;3.6;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;15;2;1;2010;91.37;47.63;178.83;3.5;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;16;2;1;2010;91.52;46.56;184.63;3.6;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;17;2;1;2010;91.76;46.80;178.30;3.5;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;18;2;1;2010;93.67;45.40;188.33;3.4;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;19;2;1;2010;92.57;42.51;219.13;3.8;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;20;2;1;2010;93.16;43.02;223.20;3.8;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;21;2;1;2010;93.93;47.10;201.60;3.7;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;22;2;1;2010;94.68;49.01;181.05;3.5;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;23;2;1;2010;94.86;48.39;182.87;3.4;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;0;3;1;2010;94.50;50.50;174.87;3.5;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;1;3;1;2010;94.84;52.93;173.00;3.6;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;2;3;1;2010;94.15;53.72;161.70;3.5;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;3;3;1;2010;94.05;53.32;167.70;3.6;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;4;3;1;2010;90.92;53.38;166.00;3.9;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;5;3;1;2010;91.81;54.02;169.53;3.9;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;6;3;1;2010;92.43;52.88;180.35;4.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;7;3;1;2010;92.46;50.47;188.10;3.9;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;8;3;1;2010;93.49;47.84;204.80;3.9;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;9;3;1;2010;94.15;43.58;222.75;3.8;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;10;3;1;2010;93.75;49.56;202.50;4.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;11;3;1;2010;92.83;48.91;200.07;4.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;12;3;1;2010;92.61;45.58;217.75;4.1;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;13;3;1;2010;94.58;47.45;217.50;4.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;14;3;1;2010;96.37;48.45;220.67;4.0;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;15;3;1;2010;97.58;49.59;206.00;3.8;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;16;3;1;2010;98.22;50.86;205.30;3.8;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;17;3;1;2010;101.43;48.40;226.90;3.8;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;18;3;1;2010;104.18;51.50;216.80;3.6;271.40;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;19;3;1;2010;104.88;43.23;276.73;3.9;273.80;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;20;3;1;2010;105.75;50.28;239.10;3.8;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;21;3;1;2010;105.11;49.14;222.70;3.7;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;22;3;1;2010;105.24;43.63;263.00;3.7;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;23;3;1;2010;105.19;50.83;239.60;3.8;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;1;4;1;2010;104.31;56.41;192.80;3.5;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;2;4;1;2010;105.16;56.79;193.95;3.5;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;3;4;1;2010;105.69;56.64;185.10;3.3;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;4;4;1;2010;105.51;56.29;182.50;3.3;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;5;4;1;2010;105.76;46.86;219.90;3.3;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;6;4;1;2010;106.95;44.99;271.90;3.6;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;7;4;1;2010;107.81;47.89;221.50;3.3;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;8;4;1;2010;105.77;48.34;199.50;3.1;278.60;4.1
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;9;4;1;2010;105.82;49.08;184.90;2.8;156.43;2.3
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;10;4;1;2010;105.99;49.06;179.55;2.8;190.70;2.9
2632;KRĘPOWIECKIEGO T 9B                     ;LG  ;11;4;1;2010;105.69;50.09;181.35;2.9;190.70;2.9
