lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
2633;JANA OLBRACHTA 62                       ;LG  ;0;1;1;2010;92.70;49.87;163.47;3.2;149.30;3.1
2633;JANA OLBRACHTA 62                       ;LG  ;1;1;1;2010;93.79;49.45;154.17;3.1;156.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;2;1;1;2010;94.88;50.63;158.40;3.1;156.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;3;1;1;2010;96.73;52.61;147.17;2.9;156.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;4;1;1;2010;97.10;52.60;147.27;2.9;156.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;5;1;1;2010;97.44;51.34;153.30;2.9;156.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;6;1;1;2010;98.20;53.08;152.10;3.0;156.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;7;1;1;2010;98.58;50.51;149.40;2.7;156.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;8;1;1;2010;98.58;47.35;164.65;2.8;156.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;9;1;1;2010;98.50;47.52;180.15;3.1;164.80;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;10;1;1;2010;98.46;48.05;157.45;2.7;172.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;11;1;1;2010;98.40;43.15;167.83;2.6;172.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;12;1;1;2010;98.42;47.14;169.20;2.9;172.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;13;1;1;2010;98.15;45.82;170.80;2.9;172.70;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;14;1;1;2010;96.49;48.73;160.75;3.0;177.50;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;15;1;1;2010;94.75;44.87;177.00;3.1;177.50;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;16;1;1;2010;92.82;47.24;166.33;3.2;177.50;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;17;1;1;2010;91.48;47.91;164.87;3.3;177.50;3.2
2633;JANA OLBRACHTA 62                       ;LG  ;18;1;1;2010;89.02;50.96;147.00;3.4;177.50;3.3
2633;JANA OLBRACHTA 62                       ;LG  ;19;1;1;2010;86.94;47.04;170.37;3.7;177.50;3.5
2633;JANA OLBRACHTA 62                       ;LG  ;20;1;1;2010;89.73;50.94;145.20;3.2;177.50;3.7
2633;JANA OLBRACHTA 62                       ;LG  ;21;1;1;2010;91.09;47.38;173.73;3.2;177.50;3.7
2633;JANA OLBRACHTA 62                       ;LG  ;22;1;1;2010;91.93;40.07;189.80;3.2;177.50;3.7
2633;JANA OLBRACHTA 62                       ;LG  ;23;1;1;2010;91.69;47.08;163.93;3.3;177.50;3.7
2633;JANA OLBRACHTA 62                       ;LG  ;0;2;1;2010;92.38;50.36;145.37;3.0;177.50;3.7
2633;JANA OLBRACHTA 62                       ;LG  ;1;2;1;2010;92.74;52.03;138.10;3.0;177.50;3.7
2633;JANA OLBRACHTA 62                       ;LG  ;2;2;1;2010;91.10;52.67;135.00;3.1;177.50;3.7
