lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;0;1;1;2010;92.64;49.32;109.80;2.2;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;1;1;1;2010;92.47;49.45;106.10;2.1;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;2;1;1;2010;94.42;49.27;110.25;2.1;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;3;1;1;2010;95.70;49.46;109.55;2.1;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;4;1;1;2010;96.27;49.47;111.70;2.1;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;5;1;1;2010;96.17;49.62;110.70;2.1;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;6;1;1;2010;96.65;49.50;111.00;2.0;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;7;1;1;2010;97.78;49.77;109.80;2.0;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;8;1;1;2010;98.04;49.59;114.40;2.1;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;9;1;1;2010;97.64;49.28;108.73;1.9;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;10;1;1;2010;97.66;48.70;105.10;1.9;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;11;1;1;2010;97.70;48.29;109.20;1.9;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;12;1;1;2010;97.25;48.71;109.05;2.0;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;13;1;1;2010;96.90;48.85;109.95;2.0;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;14;1;1;2010;96.40;48.90;112.73;2.1;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;16;1;1;2010;93.73;49.30;111.05;2.2;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;17;1;1;2010;91.23;49.47;112.70;2.4;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;18;1;1;2010;88.83;49.89;106.95;2.4;157.30;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;19;1;1;2010;86.53;49.74;107.20;2.6;78.65;1.5
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;20;1;1;2010;89.53;49.42;108.25;2.4;109.40;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;21;1;1;2010;90.12;49.41;107.95;2.3;109.40;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;22;1;1;2010;90.25;49.28;108.20;2.3;109.40;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;23;1;1;2010;90.71;49.27;109.80;2.3;109.40;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;0;2;1;2010;91.12;49.36;107.20;2.3;110.10;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;1;2;1;2010;91.57;49.13;107.07;2.2;110.10;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;2;2;1;2010;90.07;49.25;107.40;2.3;110.10;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;3;2;1;2010;91.11;49.25;106.75;2.2;110.10;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;4;2;1;2010;90.46;49.20;112.00;2.4;110.10;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;5;2;1;2010;93.11;49.26;109.70;2.2;110.10;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;6;2;1;2010;93.25;49.25;111.27;2.2;110.10;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;7;2;1;2010;94.08;49.37;111.80;2.2;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;8;2;1;2010;92.47;49.31;108.60;2.2;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;9;2;1;2010;93.86;49.10;110.45;2.1;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;10;2;1;2010;93.79;49.00;109.60;2.1;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;11;2;1;2010;93.23;48.74;108.75;2.2;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;12;2;1;2010;92.85;48.76;104.40;2.1;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;13;2;1;2010;92.23;48.68;110.30;2.2;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;14;2;1;2010;91.39;49.05;110.33;2.3;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;15;2;1;2010;91.47;49.29;108.25;2.3;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;16;2;1;2010;90.22;49.31;112.85;2.4;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;17;2;1;2010;91.05;49.17;109.60;2.3;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;18;2;1;2010;92.47;49.27;111.50;2.2;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;19;2;1;2010;93.33;49.53;112.25;2.2;111.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;20;2;1;2010;92.17;49.68;114.70;2.3;112.60;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;21;2;1;2010;92.60;49.91;114.20;2.3;114.20;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;22;2;1;2010;93.20;50.35;117.03;2.4;114.60;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;23;2;1;2010;93.42;50.50;118.00;2.4;117.40;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;0;3;1;2010;92.97;50.86;118.13;2.4;117.90;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;1;3;1;2010;92.88;51.12;118.20;2.5;117.90;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;2;3;1;2010;93.35;51.10;120.85;2.5;118.70;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;3;3;1;2010;93.75;51.21;120.80;2.5;120.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;4;3;1;2010;92.54;51.45;118.40;2.5;120.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;5;3;1;2010;91.02;51.78;124.40;2.8;120.50;2.6
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;6;3;1;2010;91.57;51.76;121.15;2.7;122.40;2.7
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;7;3;1;2010;91.08;52.27;126.00;2.8;122.40;2.7
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;8;3;1;2010;91.11;53.05;129.43;3.0;125.60;2.8
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;9;3;1;2010;92.30;52.71;124.65;2.8;129.80;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;10;3;1;2010;92.86;51.92;118.50;2.5;129.80;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;11;3;1;2010;91.55;52.08;127.90;2.8;129.80;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;12;3;1;2010;92.33;52.02;120.35;2.6;129.80;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;13;3;1;2010;93.36;52.00;128.10;2.7;129.80;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;15;3;1;2010;95.49;52.81;129.25;2.7;129.80;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;16;3;1;2010;96.36;53.13;124.45;2.5;129.80;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;17;3;1;2010;100.27;53.93;136.80;2.6;129.80;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;18;3;1;2010;102.55;54.52;132.35;2.4;136.10;3.0
26702;BOGUSŁAWSKIEGO W 6 w.II c.o.            ;CO  ;19;3;1;2010;103.04;54.71;132.70;2.4;136.10;3.0
