lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
26812;SZAŁKA J 6   c.o.                       ;CO  ;0;1;1;2010;93.14;48.89;51.83;1.0;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;1;1;1;2010;94.60;48.65;48.73;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;2;1;1;2010;95.96;48.83;49.53;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;3;1;1;2010;95.62;48.91;48.37;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;4;1;1;2010;96.45;48.97;50.13;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;5;1;1;2010;97.08;48.92;48.47;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;6;1;1;2010;97.36;48.98;50.00;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;7;1;1;2010;96.97;48.93;48.57;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;8;1;1;2010;97.31;48.94;47.70;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;9;1;1;2010;97.15;48.58;47.85;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;10;1;1;2010;97.02;47.85;43.95;0.8;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;11;1;1;2010;96.61;47.94;48.60;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;12;1;1;2010;96.65;48.10;50.05;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;13;1;1;2010;93.12;48.39;48.65;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;14;1;1;2010;92.97;48.42;46.30;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;15;1;1;2010;90.62;48.41;47.40;1.0;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;16;1;1;2010;89.20;48.09;40.77;0.9;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;17;1;1;2010;86.51;48.43;45.60;1.1;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;18;1;1;2010;86.05;48.35;46.25;1.1;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;19;1;1;2010;88.89;48.69;49.27;1.1;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;20;1;1;2010;89.90;48.66;49.95;1.1;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;21;1;1;2010;90.53;48.73;49.47;1.0;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;22;1;1;2010;91.13;48.64;49.98;1.1;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;23;1;1;2010;91.48;48.42;50.90;1.1;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;0;2;1;2010;90.52;48.44;34.30;0.7;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;1;2;1;2010;90.23;48.46;47.93;1.0;69.90;1.2
26812;SZAŁKA J 6   c.o.                       ;CO  ;2;2;1;2010;91.18;48.51;47.17;0.9;48.90;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;3;2;1;2010;92.35;48.50;46.93;0.9;48.90;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;4;2;1;2010;93.42;48.62;47.93;0.9;48.90;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;5;2;1;2010;93.85;48.74;48.18;0.9;48.90;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;6;2;1;2010;92.55;48.62;46.23;0.9;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;7;2;1;2010;94.23;48.70;48.53;0.9;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;8;2;1;2010;93.62;48.67;46.98;0.9;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;9;2;1;2010;93.87;48.58;44.93;0.9;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;10;2;1;2010;93.30;48.32;44.63;0.9;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;11;2;1;2010;93.10;48.33;47.80;0.9;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;12;2;1;2010;91.49;48.23;46.80;1.0;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;13;2;1;2010;91.48;48.42;48.75;1.0;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;14;2;1;2010;90.31;48.46;47.03;1.0;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;15;2;1;2010;90.49;48.72;48.73;1.0;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;16;2;1;2010;90.92;48.80;48.17;1.0;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;17;2;1;2010;92.34;48.78;50.25;1.1;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;18;2;1;2010;91.35;48.92;51.40;1.1;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;19;2;1;2010;92.10;48.47;42.13;0.8;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;20;2;1;2010;92.68;48.88;48.80;1.0;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;21;2;1;2010;93.46;49.12;49.33;1.0;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;22;2;1;2010;93.63;49.29;50.33;1.0;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;23;2;1;2010;93.24;49.39;47.93;1.0;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;0;3;1;2010;93.69;49.29;49.63;1.0;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;1;3;1;2010;93.02;49.57;51.30;1.1;49.40;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;2;3;1;2010;91.56;49.80;46.60;1.0;49.80;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;3;3;1;2010;90.29;49.93;49.65;1.1;49.80;1.0
26812;SZAŁKA J 6   c.o.                       ;CO  ;4;3;1;2010;90.68;49.85;49.65;1.1;49.88;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;5;3;1;2010;91.33;49.90;50.85;1.1;50.20;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;6;3;1;2010;91.31;50.02;50.60;1.1;50.95;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;7;3;1;2010;92.05;49.77;51.07;1.0;51.20;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;8;3;1;2010;92.89;49.88;50.80;1.1;52.03;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;9;3;1;2010;91.76;49.78;50.00;1.0;52.30;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;10;3;1;2010;91.70;49.40;48.58;1.0;52.30;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;11;3;1;2010;91.40;48.72;41.40;0.9;52.30;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;12;3;1;2010;93.77;49.70;53.10;1.1;52.30;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;13;3;1;2010;95.21;50.51;54.63;1.1;53.63;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;14;3;1;2010;96.43;50.42;52.37;1.0;55.23;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;15;3;1;2010;96.79;51.24;56.20;1.1;55.70;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;16;3;1;2010;102.42;51.62;58.80;1.0;56.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;17;3;1;2010;102.79;52.33;61.60;1.1;57.23;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;18;3;1;2010;103.63;53.09;56.83;1.0;59.60;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;19;3;1;2010;104.58;54.25;63.00;1.1;61.40;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;20;3;1;2010;103.89;54.33;61.33;1.1;61.48;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;21;3;1;2010;104.09;54.53;61.40;1.1;61.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;22;3;1;2010;103.73;54.63;60.70;1.1;61.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;23;3;1;2010;103.39;54.56;61.10;1.1;61.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;0;4;1;2010;102.60;54.22;60.30;1.1;61.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;1;4;1;2010;104.23;54.44;61.75;1.1;61.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;2;4;1;2010;104.28;54.67;62.03;1.1;62.57;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;4;4;1;2010;104.58;52.26;58.13;1.0;62.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;5;4;1;2010;106.15;51.65;55.50;0.9;62.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;6;4;1;2010;106.25;51.61;57.37;0.9;62.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;7;4;1;2010;103.37;51.45;54.10;0.9;62.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;8;4;1;2010;105.33;50.48;50.77;0.8;62.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;9;4;1;2010;104.42;49.68;50.83;0.8;62.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;10;4;1;2010;104.29;49.13;50.45;0.8;62.90;1.1
26812;SZAŁKA J 6   c.o.                       ;CO  ;11;4;1;2010;98.88;49.36;51.23;0.9;62.90;1.1
